stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,6459,101.987792,102.000,17554
depth,6477,127.93689,102.000,17554
depth,6494,101.071664,102.000,17554
depth,6512,102.210682,102.000,17554
depth,6530,101.715141,102.000,17554
depth,6547,101.979866,102.000,17554
depth,6565,15.333812,102.000,17554
depth,6582,88.922647,104.000,17554
depth,6600,131.306582,104.000,17554
depth,6617,98.918299,102.000,17554
depth,6635,102.37306,102.000,17554
depth,6652,39.572315,102.000,17554
depth,6670,185.818469,102.000,17554
depth,6688,58.281098,102.000,17554
depth,6705,101.633233,102.000,17554
depth,6723,131.381677,102.000,17554
depth,6740,102.329557,102.000,17554
depth,6758,102.216351,102.000,17554
depth,6775,65.257206,104.000,17554
depth,6793,160.554532,104.000,17554
depth,6810,123.467868,102.000,17554
depth,6828,101.247031,102.000,17554
depth,6846,120.793279,104.000,17554
depth,6863,104.149375,104.000,17554
depth,6881,187.828486,102.000,17554
depth,6898,91.310134,102.000,17554
depth,6916,138.082596,102.000,17554
depth,6933,108.786256,102.000,17554
depth,6951,101.596955,102.000,17554
depth,6968,36.779232,102.000,17554
depth,6986,101.820476,102.000,17554
depth,7004,177.703378,102.000,17554
depth,7021,87.207112,102.000,17554
depth,7039,140.885546,102.000,17554
depth,7056,108.978328,104.000,17554
depth,7074,102.015099,102.000,17554
depth,7091,131.044808,102.000,17554
depth,7109,101.071282,102.000,17554
depth,7126,102.078055,102.000,17554
depth,7144,101.901498,102.000,17554
depth,7162,121.185618,102.000,17554
depth,7179,230.011181,104.000,17554
depth,7197,101.906529,102.000,17554
depth,7214,129.335907,102.000,17554
depth,7232,102.316102,102.000,17554
depth,7249,102.160986,102.000,17554
depth,7267,104.335772,104.000,17554
depth,7284,102.2862,102.000,17554
depth,7302,46.545821,102.000,17554
depth,7320,104.518771,104.000,17554
depth,7337,125.279143,104.000,17554
depth,7355,103.168875,102.000,17554
depth,7372,101.735636,102.000,17554
depth,7390,101.663551,102.000,17554
depth,7407,146.084844,102.000,17554
depth,7425,87.003968,102.000,17554
depth,7442,103.148938,102.000,17554
depth,7460,102.066176,102.000,17554
depth,7478,103.726646,104.000,17554
depth,7495,173.21389,104.000,17554
depth,7513,101.797588,102.000,17554
depth,7530,133.248216,102.000,17554
depth,7548,102.236392,102.000,17554
depth,7565,131.869104,104.000,17554
depth,7583,31.294138,102.000,17554
depth,7600,100.119384,104.000,17554
depth,7618,158.560428,102.000,17554
depth,7635,104.450859,104.000,17554
depth,7653,109.845418,102.000,17554
depth,7671,75.048008,102.000,17554
depth,7688,72.561479,102.000,17554
depth,7706,31.883559,102.000,17554
depth,7723,102.208463,102.000,17554
depth,7741,63.266081,104.000,17554
depth,7758,92.222422,102.000,17554
depth,7776,25.312269,102.000,17554
depth,7793,58.353863,102.000,17554
depth,7811,102.060265,102.000,17554
depth,7829,76.561669,102.000,17554
depth,7846,92.69308,102.000,17554
depth,7864,115.022411,104.000,17554
depth,7881,101.858268,102.000,17554
depth,7899,131.757911,104.000,17554
depth,7916,87.755983,102.000,17554
depth,7934,103.996414,104.000,17554
depth,7951,21.926692,104.000,17554
depth,7969,101.857489,102.000,17554
depth,7987,46.213688,104.000,17554
depth,8004,102.303224,102.000,17554
depth,8022,135.322941,102.000,17554
depth,8039,103.715079,104.000,17554
depth,8057,102.041662,102.000,17554
depth,8074,58.648676,102.000,17554
depth,8092,196.664981,104.000,17554
depth,8109,120.529884,102.000,17554
depth,8127,93.621363,102.000,17554
depth,8145,102.945222,102.000,17554
depth,8162,101.577019,102.000,17554
depth,8180,205.360337,102.000,17554
depth,8197,107.383774,104.000,17554
depth,8215,114.516387,104.000,17554
depth,8232,0.778564,102.000,17554
depth,8250,102.611106,102.000,17554
depth,8267,6.80743,102.000,17554
depth,8285,126.902071,102.000,17554
depth,8303,155.168464,104.000,17554
depth,8320,101.663049,102.000,17554
depth,8338,101.521649,102.000,17554
depth,8355,44.885046,102.000,17554
depth,8373,102.282066,102.000,17554
depth,8390,134.392621,104.000,17554
depth,8408,104.435088,104.000,17554
depth,8425,103.553097,104.000,17554
depth,8443,103.149519,102.000,17554
depth,8461,128.758469,102.000,17554
depth,8478,72.471259,102.000,17554
depth,8496,101.947531,102.000,17554
depth,8513,119.270871,102.000,17554
depth,8531,133.993557,102.000,17554
depth,8548,102.547602,102.000,17554
depth,8566,101.684862,102.000,17554
depth,8583,147.478926,104.000,17554
depth,8601,91.704745,102.000,17554
depth,8619,104.208479,104.000,17554
depth,8636,13.173014,102.000,17554
depth,8654,103.649179,102.000,17554
depth,8671,175.460626,102.000,17554
depth,8689,101.957351,102.000,17554
depth,8706,524.117662,102.000,17554
depth,8724,106.787225,102.000,17554
depth,8741,104.09766,104.000,17554
depth,8759,18.531272,102.000,17554
depth,8777,221.606738,102.000,17554
depth,8794,184.436285,102.000,17554
depth,8812,122.711042,102.000,17554
depth,8829,133.876932,102.000,17554
depth,8847,102.516539,102.000,17554
depth,8864,102.247447,102.000,17554
depth,8882,19.794443,104.000,17554
depth,8899,104.55149,104.000,17554
depth,8917,165.582459,102.000,17554
depth,8934,102.350445,102.000,17554
depth,8952,112.378217,104.000,17554
depth,8970,103.786835,104.000,17554
depth,8987,101.452439,102.000,17554
depth,9005,49.845781,102.000,17554
depth,9022,103.693266,104.000,17554
depth,9040,133.474443,102.000,17554
depth,9057,98.736868,102.000,17554
depth,9075,105.081988,102.000,17554
depth,9092,56.467209,102.000,17554
depth,9110,99.442126,102.000,17554
depth,9128,71.282886,102.000,17554
depth,9145,104.536319,104.000,17554
depth,9163,135.626352,102.000,17554
depth,9180,101.931517,102.000,17554
depth,9198,100.578192,102.000,17554
depth,9215,52.183608,102.000,17554
depth,9233,102.212684,102.000,17554
depth,9250,454.439217,102.000,17554
depth,9268,103.115027,104.000,17554
depth,9286,121.08851,102.000,17554
depth,9303,106.019436,106.000,17554
depth,9321,40.426811,104.000,17554
depth,9338,78.075773,102.000,17554
depth,9356,102.015352,102.000,17554
depth,9373,106.916222,106.000,17554
depth,9391,120.332027,104.000,17554
depth,9408,176.153044,102.000,17554
depth,9426,104.576728,104.000,17554
depth,9444,126.917966,102.000,17554
depth,9461,129.836727,104.000,17554
depth,9479,101.698309,102.000,17554
depth,9496,24.471773,102.000,17554
depth,9514,102.953746,104.000,17554
depth,9531,165.640859,104.000,17554
depth,9549,103.116188,102.000,17554
depth,9566,104.049714,104.000,17554
depth,9584,101.680117,102.000,17554
depth,9602,3.746257,102.000,17554
depth,9619,61.976951,102.000,17554
depth,9637,171.56332,102.000,17554
depth,9654,131.736112,102.000,17554
depth,9672,48.655166,102.000,17554
depth,9689,21.93221,104.000,17554
depth,9707,90.635995,102.000,17554
depth,9724,21.589571,102.000,17554
depth,9742,73.769479,104.000,17554
depth,9760,140.937896,102.000,17554
depth,9777,115.578255,102.000,17554
depth,9795,104.41623,104.000,17554
depth,9812,28.600432,102.000,17554
depth,9830,101.99009,102.000,17554
depth,9847,103.523047,104.000,17554
depth,9865,100.564621,104.000,17554
depth,9882,103.862691,104.000,17554
depth,9900,6.178396,102.000,17554
depth,9918,25.569901,102.000,17554
depth,9935,132.060402,102.000,17554
depth,9953,77.076856,102.000,17554
depth,9970,102.003017,102.000,17554
depth,9988,103.002675,102.000,17554
depth,10005,111.512138,102.000,17554
depth,10023,19.991294,102.000,17554
depth,10040,102.281821,102.000,17554
depth,10058,134.640117,102.000,17554
depth,10075,102.985045,102.000,17554
depth,10093,101.989637,102.000,17554
depth,10111,101.955826,102.000,17554
depth,10128,102.133781,102.000,17554
depth,10146,0.26173,102.000,17554
depth,10163,114.384526,102.000,17554
depth,10181,129.364349,104.000,17554
depth,10198,3.19882,102.000,17554
depth,10216,101.695644,102.000,17554
depth,10233,48.144819,102.000,17554
depth,10251,187.02208,102.000,17554
depth,10269,88.032771,104.000,17554
depth,10286,141.334662,102.000,17554
depth,10304,133.931935,102.000,17554
depth,10321,114.479785,102.000,17554
depth,10339,101.087831,102.000,17554
depth,10356,58.118346,104.000,17554
depth,10374,163.921233,102.000,17554
depth,10391,128.833065,102.000,17554
depth,10409,104.002088,104.000,17554
depth,10427,104.14126,104.000,17554
depth,10444,104.164601,104.000,17554
depth,10462,4.356628,102.000,17554
depth,10479,56.945158,102.000,17554
depth,10497,141.118207,102.000,17554
depth,10514,117.87614,102.000,17554
depth,10532,102.17969,102.000,17554
depth,10549,33.661863,102.000,17554
depth,10567,102.331334,102.000,17554
depth,10585,218.999129,102.000,17554
depth,10602,86.478272,102.000,17554
depth,10620,132.39523,102.000,17554
depth,10637,8.5613,102.000,17554
depth,10655,102.068433,102.000,17554
depth,10672,131.299931,102.000,17554
depth,10690,102.849966,102.000,17554
