market,mode,variant_id,period,scenario,fold,train_start,train_end,validation_start,validation_end,net_return_percent,maximum_drawdown_percent,trades,total_costs,net_funding,long_pnl,short_pnl,locked_parameters,fold_count,positive_fold_count,positive_fold_percent,zero_trade_fold_count,zero_trade_fold_percent,median_return_percent,mean_return_percent,worst_fold_return_percent,best_fold_return_percent,best_trade_concentration_percent,net_pnl_without_top_three
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,-0.2177957470873381609221285300,1.164425124674848618239953276,3,7.488048339993462480714285715,-1.012457496421335040070000,-21.77957470873381609221285726,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,-0.7214979242945030298428571500,0.7214979242945030298428571500,1,2.465157681040085841428571428,0,-72.14979242945030298428571468,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,1.164425124674848618239953276,4,9.953206021033548322142857143,-1.012457496421335040070000,-93.92936713818411907649857194,0,False,4,0,0,2,50.0,-0.1088978735436690804610642650,-0.2348234178454602976912464200,-0.7214979242945030298428571500,0,100,-72.14979242945030298428571468
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,-0.7539451432715878822898142500,1.250120741838835780171776022,3,29.83580846279078548571428572,-1.008077981577865600410000,-75.39451432715878822898142878,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,-0.8971084751389847547428571500,0.8971084751389847547428571500,1,9.840258811885126902857142856,0,-89.71084751389847547428571468,0,False,,,,,,,,,,,
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,1.250120741838835780171776022,4,39.67606727467591238857142858,-1.008077981577865600410000,-165.1053618410572637032671435,0,False,4,0,0,2,50.0,-0.3769725716357939411449071250,-0.412763404602643159258167850,-0.8971084751389847547428571500,0,100,-89.71084751389847547428571468
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0,0,0,0,0,0,False,4,0,0,4,100,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
