market,mode,variant_id,period,reason_code,count
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_SHORT_APPROVED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_NOT_ESTABLISHED,1448
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7197
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,NO_PULLBACK,45
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_DEEP,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_OLD,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8728
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_OVEREXTENDED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,VOLUME_REJECTED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,VOLATILITY_REJECTED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_LONG_APPROVED,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,TREND_NOT_ESTABLISHED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,NO_PULLBACK,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_OLD,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,LONG_APPROVED,17
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,POSITION_MANAGED_BY_ENGINE,522
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,TREND_NOT_CONFIRMED,5971
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLATILITY_TOO_HIGH,9
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,VOLUME_TOO_LOW,10901
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,TREND_NOT_ESTABLISHED,1443
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7116
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,NO_PULLBACK,111
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,PULLBACK_TOO_OLD,2
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8735
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_NOT_ESTABLISHED,1443
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7200
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,NO_PULLBACK,42
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PULLBACK_TOO_OLD,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8735
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_NOT_ESTABLISHED,1443
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7116
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,NO_PULLBACK,111
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PULLBACK_TOO_OLD,2
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8735
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_NOT_ESTABLISHED,1443
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7116
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,NO_PULLBACK,111
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_OLD,2
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8735
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,13
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_NOT_ESTABLISHED,1443
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,7200
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,NO_PULLBACK,42
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_DEEP,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PULLBACK_TOO_OLD,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_CROSSED_LONG_EMA,8735
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,RESUMPTION_NOT_CONFIRMED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,PRICE_OVEREXTENDED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,VOLUME_REJECTED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,VOLATILITY_REJECTED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_LONG_APPROVED,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,ENTER_SHORT_APPROVED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,TREND_NOT_ESTABLISHED,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,TREND_PERSISTENCE_TOO_SHORT,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,NO_PULLBACK,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,PULLBACK_TOO_SHALLOW,0
