symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-03-14T16:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-15T00:00:00.008000+00:00,0.00010000,
ETHUSDT,2022-03-15T08:00:00+00:00,-0.00000321,
ETHUSDT,2022-03-15T16:00:00.006000+00:00,-0.00004856,
ETHUSDT,2022-03-16T00:00:00.013000+00:00,0.00010000,
ETHUSDT,2022-03-16T08:00:00+00:00,0.00009131,
ETHUSDT,2022-03-16T16:00:00.008000+00:00,0.00005316,
ETHUSDT,2022-03-17T00:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-03-17T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-17T16:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-03-18T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-18T08:00:00+00:00,0.00004709,
ETHUSDT,2022-03-18T16:00:00.017000+00:00,0.00005917,
ETHUSDT,2022-03-19T00:00:00.008000+00:00,0.00010000,
ETHUSDT,2022-03-19T08:00:00.015000+00:00,0.00010000,
ETHUSDT,2022-03-19T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-20T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-20T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-03-20T16:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-21T00:00:00.013000+00:00,0.00010000,
ETHUSDT,2022-03-21T08:00:00.004000+00:00,0.00010000,
ETHUSDT,2022-03-21T16:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-03-22T00:00:00.012000+00:00,0.00010000,
ETHUSDT,2022-03-22T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-03-22T16:00:00.022000+00:00,0.00010000,
ETHUSDT,2022-03-23T00:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-03-23T08:00:00+00:00,0.00008504,
ETHUSDT,2022-03-23T16:00:00.006000+00:00,-0.00003582,
ETHUSDT,2022-03-24T00:00:00.013000+00:00,-0.00001813,
ETHUSDT,2022-03-24T08:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-03-24T16:00:00.020000+00:00,0.00010000,
ETHUSDT,2022-03-25T00:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-03-25T08:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-03-25T16:00:00.014000+00:00,0.00010000,
ETHUSDT,2022-03-26T00:00:00.020000+00:00,0.00010000,
ETHUSDT,2022-03-26T08:00:00.006000+00:00,0.00004979,
ETHUSDT,2022-03-26T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-27T00:00:00.004000+00:00,0.00007576,
ETHUSDT,2022-03-27T08:00:00.001000+00:00,0.00000727,
ETHUSDT,2022-03-27T16:00:00.006000+00:00,-0.00001708,
ETHUSDT,2022-03-28T00:00:00.012000+00:00,0.00010000,
ETHUSDT,2022-03-28T08:00:00.007000+00:00,0.00010000,
ETHUSDT,2022-03-28T16:00:00+00:00,0.00010000,
ETHUSDT,2022-03-29T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-29T08:00:00.015000+00:00,0.00010000,
ETHUSDT,2022-03-29T16:00:00+00:00,0.00008269,
ETHUSDT,2022-03-30T00:00:00+00:00,0.00010000,
ETHUSDT,2022-03-30T08:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-03-30T16:00:00.028000+00:00,0.00010000,
ETHUSDT,2022-03-31T00:00:00.017000+00:00,0.00010000,
ETHUSDT,2022-03-31T08:00:00+00:00,0.00010000,
ETHUSDT,2022-03-31T16:00:00.015000+00:00,0.00010000,
ETHUSDT,2022-04-01T00:00:00+00:00,0.00010000,
ETHUSDT,2022-04-01T08:00:00+00:00,0.00010000,
ETHUSDT,2022-04-01T16:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-04-02T00:00:00+00:00,0.00010000,
ETHUSDT,2022-04-02T08:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-04-02T16:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-04-03T00:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-04-03T08:00:00.018000+00:00,0.00010000,
ETHUSDT,2022-04-03T16:00:00.015000+00:00,0.00010000,
ETHUSDT,2022-04-04T00:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-04-04T08:00:00+00:00,0.00002896,
ETHUSDT,2022-04-04T16:00:00.016000+00:00,0.00010000,
ETHUSDT,2022-04-05T00:00:00+00:00,0.00010000,
