configuration,period,scenario,fold,train_start,train_end,validation_start,validation_end,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,dataset_hash
FUTURES_SHORT_MIRRORED_1X,VALIDATION,BASE_COST,1,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,1,10,0,10,3.256724274659207016868308600,3.442052421377961242857142846,5.013023684211950923814430317,50.0,1.597622520226142378398416511,32.56724274659207016868308468,22.24670166006677281785714285,0.142617771422379500000000,3.856504759613729718973705,3.713886988191350218973705,0,0,0,9.398148148148148148148148148,2.199537619826957967295948831,0.02193545106064179165771198319,18027.17844776779136584647119,23.52706106795813692119499100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872
FUTURES_SHORT_MIRRORED_1X,VALIDATION,BASE_COST,2,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,1,4,0,4,-1.120369372235210729152457180,-1.029890171292966171428571439,2.974812780317537313127324708,25.00,0.6304448632163248150315716458,-28.00923430588026822881143062,8.788471053787702838571428573,0.469723094274617505371835,0.210274053837864571554685,-0.259449040436752933817150,0,0,0,3.657407407407407407407407407,0.8689107056871879910873074162,0.008641270957609357054052025023,17631.24397322750695966356690,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2
FUTURES_SHORT_MIRRORED_1X,VALIDATION,BASE_COST,3,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7
FUTURES_SHORT_MIRRORED_1X,VALIDATION,BASE_COST,4,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,1,7,0,7,1.424763671042680163542609200,1.552102246964242385714285714,2.581771706123936523076252746,42.85714285714285714285714286,1.373851117076820001497697127,20.35376672918114519346584354,16.57940172266047715071428572,0.438287108433852785496444,4.283831238938107719043063,3.845544130504254933546619,0,0,0,11.01851851851851851851851852,2.566022248078691083883863956,0.02545801331365286951437621815,18510.89873217202612412748274,37.45020568190421890949540507,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,1,2022-01-01T00:00:00+00:00,2022-12-31T23:59:59.999000+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,1,4,3,1,-1.111199456811690387737658300,-1.002043234134974600000000009,1.556276666025388511420815450,25.00,0.5000145765157463774376218236,-27.77998642029225969344145768,9.969662376463035875714285716,1.016161219086644997970000,0.070201327878102099918456,-0.945959891208542898051544,0,0,1.2500,0.7870370370370370370370370370,0.5081270044674407436587206403,0.005129522316921888764030597532,19319.55283589579180663776641,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,8268dabcb776e6f626bd22998d9f2c2eb320457c0e407c0dcd8adf2c93df5760
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,2,2022-04-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,73134a10050fdc11a1356f6b6a9d583b1f4da2d950396861f66e0af939671b09
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,3,2022-06-30T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,1,1,0,1,-0.5306934131283033779285714400,-0.5002174989222711428571428636,0.6089808355074693446076696317,0,0E+26,-53.06934131283033779285714350,2.525010865323253607142857143,0.522580555279969900000000,0,-0.522580555279969900000000,0,0,0,1.018518518518518518518518519,0.2547076410108299573174160457,0.002548765660697389758882511314,19476.02391204027411642248394,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,ff093c8dfc3fd953e6501cab63095d3c42a2c51693c331958791f20fe9bf2f37
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,4,2022-09-28T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,1,1,1,0,-0.7214979242945030298428571500,-0.6968463474841021714285714325,0.7214979242945030298428571500,0,0E+26,-72.14979242945030298428571468,2.465157681040085841428571428,0,0,0,0,0,0.04629629629629629629629629630,0,0.01158877128335311852203938682,0.0001153577680247634606696072947,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,dd967b08f692916f8fafb65395f3813766cd131990e02da75d8137a837488bb0
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,5,2022-12-27T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,1,4,1,3,-3.619800837403077764966371440,-3.543322310335424714285714296,4.604463440891718224741449332,0,0E+25,-90.49502093507694412415928595,9.538942601910250224285714286,1.153426671626565000000000,3.044516566771510156220000,1.891089895144945156220000,0,0,2.129629629629629629629629630,4.583333333333333333333333333,1.620393429313857120334796208,0.01628237716247793352562295864,18547.63082496000762610630673,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f766fa68dd9c46fb91528b444b0655c7e6d6a98c5ae767dc4fb61e8466a3e2fd
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,6,2023-03-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,1,7,1,6,-1.162156216232088727708027250,-0.9873336098507840285714285730,3.644532289562451423462460612,28.57142857142857142857142857,0.7461854611707329762674800260,-16.60223166045841039582896129,16.25932166320837300571428571,2.433168423951494299788483,1.210229449029397391842897,-1.222938974922096907945586,0,0,2.777777777777777777777777778,2.777777777777777777777777778,1.267977391365389117402367235,0.01302854934446018510454715277,18058.91147901734251427920479,53.31654429204765960275052402,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,fa80a0506c0acb70eeb5ac7a7984f200a68b476249c72690e37ebfd017c30578
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,7,2023-06-25T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,1,6,0,6,-0.5049143200168101603190112500,-0.3808966909878471285714285603,2.828156482838222483458348172,33.33333333333333333333333333,0.8662338052757952133962612511,-8.415238666946836005316853917,13.22640161518472842642857143,0.125068511464457548295608,0.949707223752882799965912,0.824638712288425251670304,0,0,0,3.148148148148148148148148148,0.7079755896334953156433840769,0.007151756491671202125680331329,17821.24967437682461262070514,58.69441376007470646322622875,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f6d1bfb5905266a4f562953ca0d27e1a5cb85f39187c9b53613f38915e2a7da5
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,BASE_COST,8,2023-09-23T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999000+00:00,1,6,2,4,-0.4993986616765690351795369600,-0.3395630570065308571428571353,2.178280807934827049060158757,33.33333333333333333333333333,0.8405965345804102999695240184,-8.323311027942817252992283463,14.70228889854401414428571429,2.323028469872626611278929,1.041756901412822951896656,-1.281271568459803659382273,0,0,2.592592592592592592592592593,2.453703703703703703703703704,1.244628317854961486516080045,0.01253514543234337410384047406,18847.81971583344156442308912,51.42549576337664940621692199,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,d9fcd6c00cf3517d55ead1dec935d3bcbab827f03a2ca4f164db04538e99edc9
