configuration,period,scenario,fold,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,train_start,train_end,validation_start,validation_end,dataset_hash,fold_count,positive_fold_percent,mean_return_percent,median_return_percent,funding_unchanged_by_cost_scenario
FUTURES_SHORT_MIRRORED_1X,VALIDATION,HIGH_COST,4,1,7,0,7,1.04817694307663604146055300,1.338737553894362171428571428,2.608145877181673112149161150,42.85714285714285714285714286,1.263468547874103736263715811,14.9739563296662291637221830,32.83417132506362850285714285,0.432590962811140325109908,4.210701206102155831165189,3.778110243291015506055281,0,0,0,11.01851851851851851851851852,2.526190454805235274374972681,0.02508031576393850646749895954,18483.92221950063573256650081,37.14425886822481854819666710,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,HIGH_COST,CONSOLIDATED,,21,,,,,,,,,94.27845206899865152285714286,,,7.230085853258580052164071,,,,,,,,,,,,,,,,,4,50.0,0.617121542057889214180410250,0.52408847153831802073027650,True
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STRESS_COST,1,1,10,0,10,1.753580250084920532262276700,2.580844066748837142857142848,5.567388977905669257634575224,50.0,1.292311821444445084892183156,17.53580250084920532262276644,86.43339180988851113142857142,0.135814927290016750000000,3.842825070786866821941951,3.707010143496850071941951,0,0,0,9.398148148148148148148148148,2.170975570283692123156407753,0.02169322640868617968683761502,17947.26543391778399882127597,24.55134328918806025962192908,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STRESS_COST,2,1,4,0,4,-1.735071690929537642183026560,-1.392521489389365200000000009,3.342885257068601367125389593,25.00,0.4894582771836346131475839448,-43.37679227323844105457566522,33.99557872603284520000000000,0.460503353588790793363754,0.201061925604391775061094,-0.259441427984399018302660,0,0,0,3.657407407407407407407407407,0.8397376024872738976288507755,0.008368667101999843176972645532,17552.16300420541372978736007,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STRESS_COST,3,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STRESS_COST,4,1,7,0,7,0.316218064309918905206256200,0.9240342408210233142857142857,2.661246998282331732049285771,42.85714285714285714285714286,1.073510503210744061786281712,4.517400918713127217232233067,64.43183968570346269714285714,0.421612703761309699926104,4.071834738354331489123164,3.650222034593021789197060,0,0,0,11.01851851851851851851851852,2.450246151682782336132391149,0.02436034060822233965377562697,18429.96919415785494944453696,36.58765540451683882918410395,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-09-28T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,2025-09-28T00:00:00+00:00,2025-12-26T23:59:59.999000+00:00,f39c7a3fdeffb86306cf1254477317805b9d38d3a5674f86a63ce31d48798347,,,,,
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STRESS_COST,CONSOLIDATED,,21,,,,,,,,,184.8608102216248190285714285,,,7.097790750105472842836351,,,,,,,,,,,,,,,,,4,50.0,0.083681655866325448821376585,0.158109032154959452603128100,True
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LOW_COST,1,1,10,0,10,3.516890900290577087084390700,3.591482001507188057142857131,4.914224833103266322092341492,50.0,1.657367464559403545424819357,35.16890900290577087084390857,11.17366947375073041107142857,0.143811362535797730000000,3.858370714625431135224801,3.714559352089633405224801,0,0,0,9.398148148148148148148148148,2.203542043671617389096530425,0.02196821820804556414959764858,18040.49728340945926035067040,23.38305644738655068609560275,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LOW_COST,2,1,10,6,4,1.540891579006532126349835700,1.703584021732933221428571423,2.905273780181494076464511227,40.0,1.270831692603725902957678126,15.40891579006532126349835588,12.03216733166125869267857143,4.453414831100203760383276,0.216337890121352945188264,-4.237076940978850815195012,0,0,5.833333333333333333333333333,3.657407407407407407407407407,2.294851874205892393740365779,0.02289406372005333815163771912,17644.42413473118916464293471,27.56478732698319975230634713,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2,,,,,
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LOW_COST,3,1,5,5,0,1.796212183359895352500097200,1.932810226367817664285714288,1.490034908982951406788258204,60.0,2.233495400202126573278813736,35.92424366719790705000194318,6.390896493556963329107142858,7.268907807235267849454570,0,-7.268907807235267849454570,0,0,12.36111111111111111111111111,0,3.087214472924579137530525858,0.03101562483210437912183388916,2.00E+4,36.24379768390892950956119523,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,2024-06-30T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,2025-06-30T00:00:00+00:00,2025-09-27T23:59:59.999000+00:00,fe37378d111ea376ca5028a72626f352a4050859db839351a331073f39b98ed7,,,,,
