segment,trade_id,entry_time,exit_time,entry_price,exit_price,regime,regime_at_entry,regime_at_exit,regime_transition,mfe,mae,mfe_percent,mae_percent,time_to_mfe,time_to_mae,time_to_stop,time_to_target,exit_reason,gross_pnl,costs,net_pnl,holding_candles,excursion_efficiency
development,ETHUSDT-2023-10-24T12:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-15878-STOP_LOSS-INTENT-ORDER-TRADE,2023-10-24T13:00:00+00:00,2023-10-24T15:59:59.999000+00:00,1842.29870700,1788.55570543,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,-0.24870700,-80.16870700,-0.01349981949479813644574196621,-4.351558555373832762506520068,0,2,2,,STOP_LOSS,-14.4923619877169065,2.296044078830418787000000000,-16.450557657197625287,2,
development,ETHUSDT-2024-05-20T22:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-20962-TAKE_PROFIT-INTENT-ORDER-TRADE,2024-05-20T23:00:00+00:00,2024-05-23T11:59:59.999000+00:00,3614.48837200,3881.12416714,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,310.75162800,-3.53837200,8.597389063615999924428585214,-0.09789413150171838483369175437,60,0,,60,TAKE_PROFIT,36.5869665680833314,2.430101594395497542800000000,34.5299154866047338572,60,0.8097932476856404433704205727
development,ETHUSDT-2024-11-07T01:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-25025-TAKE_PROFIT-INTENT-ORDER-TRADE,2024-11-07T02:00:00+00:00,2024-11-08T18:59:59.999000+00:00,2815.42942200,2961.29992371,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,155.78057800,-39.42942200,5.533101870099018948165272104,-1.400476307162779944835001444,40,12,,40,TAKE_PROFIT,25.7862302243899251,2.409055413439839130200000000,23.7438697593713059698,40,0.8622194418779213927425535679
development,ETHUSDT-2024-11-10T04:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-25076-STOP_LOSS-INTENT-ORDER-TRADE,2024-11-10T05:00:00+00:00,2024-11-10T21:59:59.999000+00:00,3183.24671400,3112.93513329,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,65.27328600,-114.24671400,2.050525512613471906972021145,-3.588999668091701672608716310,13,16,16,,STOP_LOSS,-11.0193764738432697,2.315246472530095380600000000,-12.9928777782506950806,16,-1.270105267943458522985957839
validation,ETHUSDT-2025-04-23T02:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1073-STOP_LOSS-INTENT-ORDER-TRADE,2025-04-23T03:00:00+00:00,2025-04-24T08:59:59.999000+00:00,1793.46454700,1728.13088957,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,41.39545300,-70.56454700,2.308127755814511788060452806,-3.934538160681020699318011108,10,29,29,,STOP_LOSS,-18.2271208714937388,2.302668149254742602400000000,-20.1920666041472414024,29,-1.748425081932066306896073827
validation,ETHUSDT-2025-05-08T16:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1421-TAKE_PROFIT-INTENT-ORDER-TRADE,2025-05-08T17:00:00+00:00,2025-05-08T20:59:59.999000+00:00,2052.02541300,2175.75447643,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,147.62458700,-15.31541300,7.194091557773509893661341318,-0.7463559126984359623035526217,3,0,,3,TAKE_PROFIT,30.1082191594404913,2.428448295718862302600000000,28.0506440038530789974,3,0.7808557232484586053405859825
validation,ETHUSDT-2025-05-08T20:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1432-TAKE_PROFIT-INTENT-ORDER-TRADE,2025-05-08T21:00:00+00:00,2025-05-09T07:59:59.999000+00:00,2186.53950700,2337.67676571,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,206.46049300,-28.78950700,9.442339932072400464520854413,-1.316669875290755494224875215,10,0,,10,TAKE_PROFIT,34.6123637787563138,2.447219699374710467600000001,32.5401570868872033324,10,0.6882131496439853991823995112
validation,ETHUSDT-2025-05-09T07:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1471-TAKE_PROFIT-INTENT-ORDER-TRADE,2025-05-09T08:00:00+00:00,2025-05-10T22:59:59.999000+00:00,2365.74486300,2564.93043386,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,220.42513700,-94.24486300,9.317367246461183587065449331,-3.983728950402882054149894185,38,6,,38,TAKE_PROFIT,42.2975121070782694,2.475615651682911618800000000,40.2034317260089677812,38,0.8589048546957691127577704534
validation,ETHUSDT-2025-05-10T22:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1480-STOP_LOSS-INTENT-ORDER-TRADE,2025-05-10T23:00:00+00:00,2025-05-11T07:59:59.999000+00:00,2579.01404700,2487.93865157,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,29.11595300,-125.09404700,1.128956743522537316370033715,-4.850460087470783752578762127,1,8,8,,STOP_LOSS,-17.8117271069814789,2.322737384728018282200000000,-19.7936274502037871822,8,-3.476077215371930295395105219
validation,ETHUSDT-2025-06-10T22:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-2252-STOP_LOSS-INTENT-ORDER-TRADE,2025-06-10T23:00:00+00:00,2025-06-12T11:59:59.999000+00:00,2805.58253400,2718.83833714,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,73.63746600,-85.20253400,2.624676519318536647263002957,-3.036892800958676056542630301,16,36,36,,STOP_LOSS,-15.5641052797484952,2.324161075684346529600000000,-17.5465472449864417296,36,-1.328033729491452082286481721
validation,ETHUSDT-2025-07-10T22:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-2976-STOP_LOSS-INTENT-ORDER-TRADE,2025-07-10T23:00:00+00:00,2025-07-12T15:59:59.999000+00:00,2975.96171600,2902.08711600,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,64.18828400,-72.11171600,2.156892128514196249156318112,-2.423139908430192991098276615,10,40,40,,STOP_LOSS,-12.4743083418480000,2.32837821114191232,-14.45941807046399232,40,-1.334054944731035339720251752
validation,ETHUSDT-2025-07-16T19:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-3106-TAKE_PROFIT-INTENT-ORDER-TRADE,2025-07-16T20:00:00+00:00,2025-07-18T01:59:59.999000+00:00,3386.58895400,3539.29647129,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,239.01104600,-75.81895400,7.057574723312583036317315054,-2.238800014700573549440567862,29,5,,29,TAKE_PROFIT,22.6266163350779027,2.419760279765313885400000000,20.5742045733026788146,29,0.5809595362359110381869129178
validation,ETHUSDT-2025-07-18T02:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-3125-STOP_LOSS-INTENT-ORDER-TRADE,2025-07-18T03:00:00+00:00,2025-07-18T20:59:59.999000+00:00,3604.63147700,3487.92816857,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,69.20852300,-127.05147700,1.919988865480353236120841875,-3.524673127077617205194260695,2,17,17,,STOP_LOSS,-16.2792840995282313,2.319541015904855817400000000,-18.2580076681464871174,17,-1.891218336232085172515529626
validation,ETHUSDT-2025-08-09T20:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-3660-STOP_LOSS-INTENT-ORDER-TRADE,2025-08-09T21:00:00+00:00,2025-08-10T03:59:59.999000+00:00,4293.29320300,4211.81395071,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,39.30679700,-86.74320300,0.9155395436895344974182980347,-2.020435104208278784075395467,3,6,6,,STOP_LOSS,-9.5253238410372210,2.333486020729004358000000000,-11.513901243624725358,6,-2.505659939613497380618420778
validation,ETHUSDT-2025-08-13T04:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-3765-STOP_LOSS-INTENT-ORDER-TRADE,2025-08-13T05:00:00+00:00,2025-08-14T12:59:59.999000+00:00,4677.07166000,4565.72603871,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,110.92834000,-163.94166000,2.371747710190097878466116981,-3.505220187282740927685508244,25,31,31,,STOP_LOSS,-11.9350324811910874,2.324270683767596225200000000,-13.9164860753808636252,31,-1.170406198158378643365617839
validation,ETHUSDT-2025-12-04T01:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-6460-STOP_LOSS-INTENT-ORDER-TRADE,2025-12-04T02:00:00+00:00,2025-12-04T19:59:59.999000+00:00,3205.24210000,3114.59111614,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,23.43790000,-138.87210000,0.7312364953648899095640856583,-4.332655558218207604349137933,1,17,17,,STOP_LOSS,-14.1590427764761098,2.314999053571589780400000000,-16.1332693107565695804,17,-4.406992533131381224427103111
