fold,scenario,net_return,final_capital,total_costs,trade_count,drawdown,difference_against_base,status,warning
fold-13-validation,BASE_COST,-0.37149356513926680349200,9962.8506434860733196508,4.609988510593774949200000000,2,0.37149356513926680349200,0E-23,NEGATIVE,
fold-13-validation,HIGH_COST,-0.42452855035106136614400,9957.5471449648938633856,9.218840411174230214400000000,2,0.42452855035106136614400,-0.05303498521179456265200,NEGATIVE,
fold-13-validation,STRESS_COST,-0.53055883426722254092800,9946.9441165732777459072,18.43313422913674569280000000,2,0.53055883426722254092800,-0.15906526912795573743600,NEGATIVE,
fold-14-validation,LOW_COST,-0.01175231006614609081200,9998.8247689933853909188,1.17523100634690804270,1,0.1647568234618379329286269000,0.01175703137566456808400,NEGATIVE,
fold-14-validation,BASE_COST,-0.02350934144181065889600,9997.6490658558189341104,2.3509341431102617356,1,0.1697624310072754515106163796,0E-23,NEGATIVE,
fold-14-validation,HIGH_COST,-0.04703755337816433393600,9995.2962446621835666064,4.7037553379038459776,1,0.1797793354787150145658712028,-0.02352821193635367504000,NEGATIVE,
fold-14-validation,STRESS_COST,-0.24544127323825203897600,9975.4558726761747961024,9.250215458049896097600000000,1,0.3509665838755019872189379636,-0.22193193179644138008000,NEGATIVE,
CONSOLIDATED,LOW_COST,0.02600737553316173281392857143,,25.95766011270509755950000000,22,0.34497110808909912299400,,POSITIVE,COST_SENSITIVITY_HIGH
CONSOLIDATED,BASE_COST,-0.005902004857945757407142857143,,51.85627929786218784800000000,22,0.4040567244932339436615661110,,NEGATIVE,
CONSOLIDATED,HIGH_COST,-0.04511739599235657931714285714,,103.6959717388419361480000000,22,0.4533759296317697638252396166,,NEGATIVE,COST_SENSITIVITY_HIGH
CONSOLIDATED,STRESS_COST,-0.1201410722062802113851428571,,197.8511660468110514632000000,21,0.6378330941739767747300954015,,NEGATIVE,COST_SENSITIVITY_HIGH
