market,mode,variant_id,benchmark,selectable,period,scenario,evaluation_start,evaluation_end,effective_evaluation_start,initial_capital,final_capital,trades,trades_by_year,long_trades,short_trades,net_return_percent,gross_return_percent,win_rate_percent,profit_factor,expectancy,median_trade,maximum_drawdown_percent,return_to_drawdown,exposure_percent,fees,execution_costs,funding_paid,funding_received,net_funding,liquidation_count,defensive_mode_activations,candles_in_defensive_mode,trades_in_defensive_mode,risk_reduction_duration_days,result_without_best_trade,result_without_top_three,best_trade_concentration_percent,top_three_concentration_percent,zero_trade_fold_percent,median_walk_forward_net_return,positive_fold_percent,warnings,net_funding_percent
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9948.6336371162713475368761,5,"{""2023"": 5}",5,0,-0.51366362883728652463123900,0.169842838100,60.0,0.8263806308282238515592879582,-10.27327257674573049262478,10.0955712373993548923778,3.632577271812543393950161199,-0.1414047356468164833177335023,31.63841807909604519774011299,4.5818735394156665,6.414631277481,57.3541418768319859631239,0,-57.3541418768319859631239,0,0,0,0,0,-251.5204953630239633042284,-295.8561773882936863972287,81.86604128474157694448567788,100,0,-0.43446546592778560942654550,50.0,[],
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9930.4527817976535846510734,4,"{""2023"": 4}",4,0,-0.69547218202346415348926600,-0.272482061500,50.0,0.6376473716608179317790879063,-17.38680455058660383723165,8.07655297246787378855325,2.671627279718813757761919894,-0.2603178172730224338463434015,38.60640301318267419962335217,2.5607383825471525,3.585020383945,36.1532532858542628489266,0,-36.1532532858542628489266,0,0,0,0,0,-159.6951585452984251699274,-175.8482644902341727470339,73.65918123333222055644736956,100,0,-0.08659002477666131141155350,50.0,[],
FUTURES,LONG,CASH,True,False,DEVELOPMENT,BASE,,,,,,0,,0,0,0,0,,,,,0,,0,,,,,,0,,,,,,,,,,,,,0
FUTURES,LONG,FUTURES_LONG_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,1,0,-47.15825954108666733768406506,-37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,-9.04676300
FUTURES,LONG,FUTURES_SHORT_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,0,1,46.67825954108666733768406506,37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,9.04676300
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9762.2687784110907792319192,5,"{""2022"": 3, ""2023"": 2}",0,5,-2.37731221588909220768080800,-2.333953395100,0,0E+22,-47.54624431778184415361616,-38.2643483352081690781916,2.521585095510118928566238786,-0.9427848459772720111919901488,26.74199623352165725047080979,2.3150407987238285,3.240942754497,1.3431579497704807187018,2.5632594240820884506210,1.2201014743116077319192,0,0,0,0,0,-211.9393764254669515761813,-145.9186602036610255673237,0,0,50.0,0,25.00,[],
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9684.8743014750099771710914,6,"{""2022"": 3, ""2023"": 3}",0,6,-3.15125698524990022828908600,-3.070960287700,0,0E+22,-52.5209497541650038048181,-41.3161470532576628709063,3.317264817385992245019512776,-0.9499564125040501461888459554,21.09227871939736346516007533,3.7140059080950695,5.199457794279,2.0376515548996212285888,2.9214455022836678996802,0.8837939473840466710914,0,0,0,0,0,-308.2213614565414522566245,-248.0313041003256025587845,0,0,50.0,-0.30475076081087221371803750,0,[],
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9821.7105832222509635670997,5,"{""2022"": 3, ""2023"": 2}",0,5,-1.78289416777749036432900300,-1.746288487900,0,0E+22,-35.65788335554980728658006,-38.2643483352081690781916,1.928045515359667903486947657,-0.9247158086124848396663047873,26.74199623352165725047080979,1.5705850440120765,2.198733493481,1.3431579497704807187018,1.4519084995145207858015,0.1087505497440400670997,0,1,383,2,383,-165.3935211286866234075053,-99.3728049068806973986477,0,0,50.0,0,25.00,[],
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9797.3231100257518025969004,6,"{""2022"": 3, ""2023"": 3}",0,6,-2.02676889974248197403099600,-1.969642289900,0,0E+22,-33.77948166237469956718326667,-31.9558585004587276350119,2.194704209959621676446402830,-0.9234815746673081799249375721,21.09227871939736346516007533,2.2896069084351465,3.205353159337,1.8291206880048209852007,1.6114197715287700821011,-0.2177009164760509030996,0,1,396,3,396,-195.7725529057996268308155,-152.7103719792158845284674,0,0,50.0,-0.30475076081087221371803750,0,[],
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9762.2687784110907792319192,5,"{""2022"": 3, ""2023"": 2}",0,5,-2.37731221588909220768080800,-2.333953395100,0,0E+22,-47.54624431778184415361616,-38.2643483352081690781916,2.521585095510118928566238786,-0.9427848459772720111919901488,26.74199623352165725047080979,2.3150407987238285,3.240942754497,1.3431579497704807187018,2.5632594240820884506210,1.2201014743116077319192,0,0,0,0,0,-211.9393764254669515761813,-145.9186602036610255673237,0,0,50.0,0,25.00,[],
FUTURES,SHORT,CASH,True,False,DEVELOPMENT,BASE,,,,,,0,,0,0,0,0,,,,,0,,0,,,,,,0,,,,,,,,,,,,,0
FUTURES,SHORT,FUTURES_LONG_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,1,0,-47.15825954108666733768406506,-37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,-9.04676300
FUTURES,SHORT,FUTURES_SHORT_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,0,1,46.67825954108666733768406506,37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,9.04676300
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9628.9694528087781608830158,9,"{""2022"": 3, ""2023"": 6}",4,5,-3.71030547191221839116984200,-3.250636064500,22.22222222222222222222222222,0.2432521492211352310625000574,-41.22561635458020434633157778,-38.2643483352081690781916,4.752078482375156006961011873,-0.7807752935211952271201185930,60.64030131826741996233521657,4.8117198306672575,6.736248481767,36.7528889975476944859843,2.3339165687601128690001,-34.4189724287875816169842,0,0,0,0,0,-458.4415703734458658319590,-474.4029293563365177802623,73.29106746390691334803645138,100,0,-0.34740765555513184507712000,25.00,[],
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9660.6924502076370503170551,10,"{""2022"": 3, ""2023"": 7}",5,5,-3.39307549792362949682944900,-2.668676970600,30.0,0.4125637085972606230058766622,-33.93075497923629496829449,-41.3161470532576628709063,5.576281593892643414301870780,-0.6084835280986984910252502115,50.47080979284369114877589454,7.3313985991239710,10.263827273602,57.7067085983351339527812,2.8620817386981552698363,-54.8446268596369786829449,0,0,0,0,0,-533.6686492979653727668528,-577.6074014462577775558040,81.56156965967869511901198164,100,0,-0.43446546592778560942654550,50.0,[],
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9755.0230529597256250740511,9,"{""2022"": 3, ""2023"": 6}",4,5,-2.44976947040274374925948900,-2.203447568600,22.22222222222222222222222222,0.1978059389550573242346073664,-27.21966078225270832510543333,-38.2643483352081690781916,3.051634291464740176427901994,-0.8027729525961284020839496073,60.64030131826741996233521657,2.8302647052349010,3.962262618398,19.1866110585281653017337,1.3469482018866913757848,-17.8396628566414739259489,0,1,383,6,383,-289.4564015957205127223256,-297.4498246667959185937508,73.63331457050740609478765772,100,0,-0.34740765555513184507712000,25.00,[],
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9786.1806331108873042112472,10,"{""2022"": 3, ""2023"": 7}",5,5,-2.13819366889112695788752800,-1.754217900800,30.0,0.3621582960844657837206746290,-21.38193668891126957887528,-31.78684409495183683617765,3.328977108128495274270285170,-0.6422974984328413605490260374,50.47080979284369114877589454,4.1240548941465280,5.773590895128,30.0964442218403305207412,1.5965132020021627319884,-28.4999310198381677887528,0,1,396,7,396,-313.2624239931309057166324,-335.2232467343144907400971,81.91093829193504535629919767,100,0,-0.43446546592778560942654550,50.0,[],
FUTURES,LONG_SHORT,CASH,True,False,DEVELOPMENT,BASE,,,,,,0,,0,0,0,0,,,,,0,,0,,,,,,0,,,,,,,,,,,,,0
FUTURES,LONG_SHORT,FUTURES_LONG_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,1,0,-47.15825954108666733768406506,-37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,-9.04676300
FUTURES,LONG_SHORT,FUTURES_SHORT_1X,True,False,DEVELOPMENT,BASE,,,,,,1,,0,1,46.67825954108666733768406506,37.87149654108666733768406506,,,,,0,,100,,,,,,0,,,,,,,,,,,,,9.04676300
