side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,1000,100,LOW,3232,100.0,-10.06189719581324,-10.052674016611155,0.0,-10.05276076858108,-10.052616063297203,-8.132759040517707,-12.038216643358737,10.053792291504502,5.4625910974792786e-06
LONG,1000,100,MEDIUM,373,100.0,-10.088889726606206,-10.052664302612929,0.0,-10.158022049833466,-10.052615509336029,-9.138195114691516,-12.8816356713179,10.050504252852454,7.677541430963269e-05
LONG,1000,1000,EXTREME,1782,99.94388327721661,-10.049357572167576,-10.05268567814032,0.0,-10.052781665038419,-9.841839587311298,-7.946531969935706,-12.480092016534504,10.053294738742618,0.000969667907420125
LONG,1000,1000,HIGH,1805,99.83379501385042,-10.048149970055823,-10.052681512809441,0.0,-10.052778041799998,-10.05260969344787,-8.198375050113889,-12.753924398303472,10.055330123120422,-7.047097706713218e-25
LONG,1000,1000,LOW,3232,100.0,-10.061921117621464,-10.052674016611155,0.0,-10.05276076858108,-10.052616063297203,-8.132759040517707,-12.038243817977452,10.053816226602907,2.9397689502868202e-05
LONG,1000,1000,MEDIUM,373,100.0,-10.089248080728177,-10.052664302612929,0.0,-10.158022049833466,-10.052615509336029,-9.13841442057166,-12.881854949490707,10.050862786339017,0.0004353089008714751
LONG,1000,500,EXTREME,1782,99.94388327721661,-10.049029645887822,-10.05268567814032,0.0,-10.052781665038419,-9.841839587311298,-7.946139025779514,-12.479785609480684,10.052966662863758,0.0006415920285609379
LONG,1000,500,HIGH,1805,99.83379501385042,-10.048149970055823,-10.052681512809441,0.0,-10.052778041799998,-10.05260969344787,-8.198373220831137,-12.753924398303472,10.055330123120422,0.0
LONG,1000,500,LOW,3232,100.0,-10.061917932342103,-10.052674016611155,0.0,-10.05276076858108,-10.052616063297203,-8.132759040517707,-12.03823738709508,10.053813039553908,2.62106405033461e-05
LONG,1000,500,MEDIUM,373,100.0,-10.089118923378486,-10.052664302612929,0.0,-10.158022049833466,-10.052615509336029,-9.138351415290794,-12.881791952169996,10.050733562671915,0.00030608523377016544
LONG,3000,100,EXTREME,1782,99.43883277216611,-10.027234021545619,-10.05268567814032,0.0,-10.78964000737366,-9.261795412504338,-7.945634656899858,-12.479387201715184,10.04624869624173,0.00016221534478647677
LONG,3000,100,HIGH,1805,99.83379501385042,-10.06086131909137,-10.052677070322176,0.0,-10.737425739742612,-9.315169211470856,-8.19835858656913,-12.753924398303472,10.05528061350156,2.187621258103171e-05
LONG,3000,100,LOW,3232,100.0,-10.059286079498506,-10.052673461429007,0.0,-10.627049413094428,-9.525806400598837,-8.132759040517707,-12.038216643358737,10.052058127080123,-1.0024354758090265e-24
