horizon_ms,notional,context,long_samples,short_samples,long_mean_net_bps,short_mean_net_bps,both_weak_or_negative,strategy_threshold_created
1000,500,SPREAD_LOW|VOL_MID,598,598,-10.062945639102463,-10.042660387055516,True,False
1000,500,SPREAD_MID|VOL_HIGH,765,765,-10.055809801811751,-10.049964175218092,True,False
1000,500,SPREAD_MID|VOL_LOW,1016,1016,-10.065551998639217,-10.03990197107174,True,False
1000,500,SPREAD_MID|VOL_MID,549,549,-10.036565007864324,-10.068872853635929,True,False
3000,100,SPREAD_HIGH|VOL_HIGH,927,927,-9.987774434891405,-10.118269655771286,True,False
3000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-10.019945904814191,-10.085609988165858,True,False
3000,100,SPREAD_HIGH|VOL_MID,413,413,-10.062220108747338,-10.043676712619886,True,False
3000,100,SPREAD_LOW|VOL_HIGH,704,704,-10.139724612956211,-9.965549276277573,True,False
3000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.100062527258325,-10.005238220391533,True,False
3000,100,SPREAD_LOW|VOL_MID,598,598,-10.122119274806016,-9.983238564672172,True,False
3000,100,SPREAD_MID|VOL_HIGH,756,756,-10.042755388263565,-10.062759222161722,True,False
3000,100,SPREAD_MID|VOL_LOW,1016,1016,-10.04943998114782,-10.056004193625478,True,False
3000,100,SPREAD_MID|VOL_MID,549,549,-10.072253106677403,-10.03322069664834,True,False
3000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-9.98890084278629,-10.119054192991602,True,False
3000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-10.019945904814191,-10.085609988165858,True,False
3000,1000,SPREAD_HIGH|VOL_MID,413,413,-10.062220108747338,-10.044600690859367,True,False
3000,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.140083901546939,-9.965840067736142,True,False
3000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.100062527258325,-10.00529740917285,True,False
3000,1000,SPREAD_LOW|VOL_MID,598,598,-10.122342796691461,-9.983462309715664,True,False
3000,1000,SPREAD_MID|VOL_HIGH,756,756,-10.043072532181561,-10.0628590300553,True,False
3000,1000,SPREAD_MID|VOL_LOW,1016,1016,-10.049568235912856,-10.056372692418805,True,False
3000,1000,SPREAD_MID|VOL_MID,549,549,-10.072444476148595,-10.03322069664834,True,False
3000,500,SPREAD_HIGH|VOL_HIGH,927,927,-9.98849618795366,-10.118835209821402,True,False
3000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-10.019945904814191,-10.085609988165858,True,False
3000,500,SPREAD_HIGH|VOL_MID,413,413,-10.062220108747338,-10.044206178123462,True,False
3000,500,SPREAD_LOW|VOL_HIGH,704,704,-10.139981197120617,-9.965765198911141,True,False
3000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.100062527258325,-10.005261975111976,True,False
3000,500,SPREAD_LOW|VOL_MID,598,598,-10.122262235334544,-9.983381667937142,True,False
3000,500,SPREAD_MID|VOL_HIGH,756,756,-10.0428328162664,-10.06284539732986,True,False
3000,500,SPREAD_MID|VOL_LOW,1016,1016,-10.04954088746133,-10.056037136941072,True,False
3000,500,SPREAD_MID|VOL_MID,549,549,-10.072419716286712,-10.03322069664834,True,False
5000,100,SPREAD_HIGH|VOL_HIGH,927,927,-9.960413221810768,-10.145790088504535,True,False
5000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-9.9655224098487,-10.140121936726006,True,False
5000,100,SPREAD_HIGH|VOL_MID,413,413,-10.099224942771851,-10.007508474724842,True,False
5000,100,SPREAD_LOW|VOL_HIGH,704,704,-10.181837290283225,-9.923394240987745,True,False
5000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.165015638237612,-9.940220584827935,True,False
5000,100,SPREAD_LOW|VOL_MID,598,598,-10.160532061961545,-9.944739232896636,True,False
5000,100,SPREAD_MID|VOL_HIGH,749,749,-10.012486210027912,-10.093059513017854,True,False
5000,100,SPREAD_MID|VOL_LOW,1016,1016,-10.010306829217077,-10.095176704675206,True,False
5000,100,SPREAD_MID|VOL_MID,549,549,-10.187827528358039,-9.917458196714268,True,False
5000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-9.961519689678012,-10.146825647933703,True,False
5000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-9.9655224098487,-10.140331409943444,True,False
5000,1000,SPREAD_HIGH|VOL_MID,413,413,-10.099224942771851,-10.007664387983882,True,False
5000,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.182229675508705,-9.923427325018684,True,False
5000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.16507937713636,-9.940220584827935,True,False
5000,1000,SPREAD_LOW|VOL_MID,598,598,-10.160668778214255,-9.944826124503667,True,False
5000,1000,SPREAD_MID|VOL_HIGH,749,749,-10.01280631790776,-10.093160253695485,True,False
5000,1000,SPREAD_MID|VOL_LOW,1016,1016,-10.010306829217077,-10.095205954628797,True,False
5000,1000,SPREAD_MID|VOL_MID,549,549,-10.187827528358039,-9.917755617227423,True,False
5000,500,SPREAD_HIGH|VOL_HIGH,927,927,-9.961134951321732,-10.146533699017514,True,False
5000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-9.9655224098487,-10.140228868507947,True,False
5000,500,SPREAD_HIGH|VOL_MID,413,413,-10.099224942771851,-10.007576301657078,True,False
5000,500,SPREAD_LOW|VOL_HIGH,704,704,-10.1820938707868,-9.923394240987745,True,False
5000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.165070890060601,-9.940220584827935,True,False
5000,500,SPREAD_LOW|VOL_MID,598,598,-10.160629500444342,-9.944784800136338,True,False
5000,500,SPREAD_MID|VOL_HIGH,749,749,-10.012564361656942,-10.093146493561397,True,False
5000,500,SPREAD_MID|VOL_LOW,1016,1016,-10.010306829217077,-10.095202704625372,True,False
5000,500,SPREAD_MID|VOL_MID,549,549,-10.187827528358039,-9.91745913111595,True,False
15000,100,SPREAD_HIGH|VOL_HIGH,927,927,-9.930637685878173,-10.175370856977635,True,False
15000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-9.644461821517943,-10.461471726637821,True,False
15000,100,SPREAD_HIGH|VOL_MID,413,413,-10.003670669246137,-10.101907547305924,True,False
15000,100,SPREAD_LOW|VOL_HIGH,704,704,-10.414344601331099,-9.690693785456586,True,False
15000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.440073889212151,-9.664884875316927,True,False
15000,100,SPREAD_LOW|VOL_MID,598,598,-10.176094876248229,-9.929160766058711,True,False
15000,100,SPREAD_MID|VOL_HIGH,737,737,-10.107896532023544,-9.997580970621877,True,False
15000,100,SPREAD_MID|VOL_LOW,987,987,-9.837936722120308,-10.26776097400341,True,False
15000,100,SPREAD_MID|VOL_MID,549,549,-10.72450517097106,-9.380276685184649,True,False
15000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-9.931480673703241,-10.175847814159598,True,False
15000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-9.644461821517943,-10.461530210544108,True,False
15000,1000,SPREAD_HIGH|VOL_MID,413,413,-10.003670669246137,-10.101952260055585,True,False
15000,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.41477762441226,-9.69072687314705,True,False
15000,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.440073889212151,-9.665011531813288,True,False
15000,1000,SPREAD_LOW|VOL_MID,598,598,-10.17623159250094,-9.92924765766574,True,False
15000,1000,SPREAD_MID|VOL_HIGH,737,737,-10.108324106576676,-9.998151065963324,True,False
15000,1000,SPREAD_MID|VOL_LOW,987,987,-9.837936722120308,-10.267850384638756,True,False
15000,1000,SPREAD_MID|VOL_MID,549,549,-10.724796577002635,-9.380276685184649,True,False
15000,500,SPREAD_HIGH|VOL_HIGH,927,927,-9.931145374866116,-10.175729827961627,True,False
15000,500,SPREAD_HIGH|VOL_LOW,1003,1003,-9.644461821517943,-10.461471726637821,True,False
15000,500,SPREAD_HIGH|VOL_MID,413,413,-10.003670669246137,-10.101907547305924,True,False
15000,500,SPREAD_LOW|VOL_HIGH,704,704,-10.414639861467064,-9.690693785456586,True,False
15000,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.440073889212151,-9.664956731953446,True,False
15000,500,SPREAD_LOW|VOL_MID,598,598,-10.176192314731027,-9.929206333298412,True,False
15000,500,SPREAD_MID|VOL_HIGH,737,737,-10.108064256572897,-9.997678950643321,True,False
15000,500,SPREAD_MID|VOL_LOW,987,987,-9.837936722120308,-10.267840450114882,True,False
15000,500,SPREAD_MID|VOL_MID,549,549,-10.724739957024378,-9.380276685184649,True,False
30000,100,SPREAD_HIGH|VOL_HIGH,927,927,-9.841431146962833,-10.264802934756167,True,False
30000,100,SPREAD_HIGH|VOL_LOW,1003,1003,-9.457553835753819,-10.648567702399555,True,False
30000,100,SPREAD_HIGH|VOL_MID,395,395,-9.69205894595067,-10.413835549216461,True,False
30000,100,SPREAD_LOW|VOL_HIGH,704,704,-10.534068595126945,-9.570808674332627,True,False
30000,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.667216161531929,-9.437538586174949,True,False
30000,100,SPREAD_LOW|VOL_MID,598,598,-10.375301886745078,-9.729753395904924,True,False
30000,100,SPREAD_MID|VOL_HIGH,723,723,-10.48126202588688,-9.623814311711282,True,False
30000,100,SPREAD_MID|VOL_LOW,960,960,-9.744547248871083,-10.36120286988432,True,False
30000,100,SPREAD_MID|VOL_MID,548,548,-11.167526663964315,-8.93688342888857,True,False
30000,1000,SPREAD_HIGH|VOL_HIGH,927,927,-9.842557564402377,-10.26563962997466,True,False
30000,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-9.457553835753819,-10.648567702399555,True,False
