partition,feature_left,feature_right,left_bin,right_bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,15000,1000,874,99.19908466819221,-10.149258231321015,-10.158210166775602,0.0,-12.218867425304573,-8.187280757885375,-7.784691207497513,-12.107550545614659,10.044412311511103,0.0004994126361071336
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,15000,500,874,99.19908466819221,-10.148819243089356,-10.158210166775602,0.0,-12.218867425304573,-8.187280757885375,-7.784691207497513,-12.107550545614659,10.043973483558746,6.058468374960717e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,250,100,874,100.0,-10.059691562730304,-10.052750624782512,0.0,-10.052824988516306,-10.052679659761829,-7.784691207497513,-12.107550545614659,10.04850058360012,-4.7021638731898775e-25
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,250,1000,874,100.0,-10.060086120689215,-10.052750624782512,0.0,-10.052824988516306,-10.052679659761829,-7.784691207497513,-12.107550545614659,10.048894940056448,0.0003943564563279529
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,250,500,874,100.0,-10.059699682870237,-10.052750624782512,0.0,-10.052824988516306,-10.052679659761829,-7.784691207497513,-12.107550545614659,10.048508699541706,8.115941586613217e-06
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,3000,100,874,100.0,-10.160264471258564,-10.052763978103345,0.0,-10.950676083337498,-9.630652153276587,-7.784691207497513,-12.107550545614659,10.045109911373498,4.781497245646052e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,3000,1000,874,100.0,-10.160317013043796,-10.052763978103345,0.0,-10.950676083337498,-9.630652153276587,-7.784691207497513,-12.107550545614659,10.045162416505226,0.00010032010418518064
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,3000,500,874,100.0,-10.160296522200227,-10.052763978103345,0.0,-10.950676083337498,-9.630652153276587,-7.784691207497513,-12.107550545614659,10.045141939956208,7.984355516726679e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,30000,100,874,97.48283752860412,-10.01397348579984,-10.10559451414975,0.0,-12.845023696682464,-6.997105034150811,-7.784691207497513,-12.107550545614659,10.038424274838913,-1.0487224629681109e-25
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,30000,1000,874,97.48283752860412,-10.01397348579984,-10.10559451414975,0.0,-12.845023696682464,-6.997105034150811,-7.784691207497513,-12.107550545614659,10.038424274838913,-1.0487224629681109e-25
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,30000,500,874,97.48283752860412,-10.01397348579984,-10.10559451414975,0.0,-12.845023696682464,-6.997105034150811,-7.784691207497513,-12.107550545614659,10.038424274838913,0.0
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,500,100,874,100.0,-10.074907633634755,-10.052753406166955,0.0,-10.05283408251807,-10.052675083448284,-7.784691207497513,-12.107550545614659,10.048262466519104,6.688498861411218e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,500,1000,874,100.0,-10.075249854106778,-10.052753406166955,0.0,-10.05283408251807,-10.052675083448284,-7.784691207497513,-12.107550545614659,10.048604507268266,0.00040892573777681954
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,500,500,874,100.0,-10.075146553479858,-10.052753406166955,0.0,-10.05283408251807,-10.052675083448284,-7.784691207497513,-12.107550545614659,10.04850126112359,0.0003056795931014386
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,5000,100,874,100.0,-10.194263261405991,-10.052769126501229,0.0,-11.265239933936863,-9.156945665969738,-7.784691207497513,-12.107550545614659,10.03578792171154,4.781497245646052e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,5000,1000,874,100.0,-10.194315803191223,-10.052769126501229,0.0,-11.265239933936863,-9.156945665969738,-7.784691207497513,-12.107550545614659,10.035840426843269,0.00010032010418518064
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,5000,500,874,100.0,-10.194295312347654,-10.052769126501229,0.0,-11.265239933936863,-9.156945665969738,-7.784691207497513,-12.107550545614659,10.035819950294249,7.984355516726679e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,60000,100,874,96.79633867276888,-9.811495699343459,-10.0527556314857,0.4728132387706856,-13.982880103395392,-5.53947085626031,-7.784691207497513,-12.107550545614659,10.037755353872262,4.9399903392716685e-05
ENGINEERING_SAMPLE,ofi_1s,aggressive_flow_1s,HIGH,MID,60000,1000,874,96.79633867276888,-9.811764306873544,-10.0527556314857,0.4728132387706856,-14.001055037960965,-5.53947085626031,-7.784691207497513,-12.107550545614659,10.03802388827654,0.0003179343076693034
