side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,1000,100,WIDE_THIN,1176,100.0,-10.052341853497174,-10.052735992908737,0.0,-10.052781665038419,-10.052704569662838,-8.081585807613633,-12.764590571506872,10.04934653292792,0.00010491735540026069
LONG,1000,1000,TIGHT_DEEP,2429,99.83532317826266,-10.066545893505563,-10.052670963254164,0.0,-10.052704013836452,-10.052615509336029,-8.632255454372432,-12.200598771105346,10.053745039919546,0.00011559680761372303
LONG,1000,1000,TIGHT_THIN,2420,100.0,-10.058206341423373,-10.052658753365261,0.0,-10.052700401250679,-10.052612684334363,-8.422770243768955,-12.472960484402298,10.053200899897798,0.00025712202216758974
LONG,1000,1000,WIDE_DEEP,1167,100.0,-10.037663464133445,-10.052732097729804,0.0,-10.052779435294367,-9.926185406079528,-6.682012971328943,-12.117517458020926,10.060041853500495,0.0005210041137799961
LONG,1000,1000,WIDE_THIN,1176,100.0,-10.052639683414917,-10.052735992908737,0.0,-10.052781665038419,-10.052704569662838,-8.081772948962016,-12.76477758661509,10.04964450055783,0.00040288498530907457
LONG,1000,500,TIGHT_DEEP,2429,99.83532317826266,-10.066471161451187,-10.052670963254164,0.0,-10.052704013836452,-10.052615509336029,-8.632116031909902,-12.200519887613055,10.053670271594124,4.082848219336179e-05
LONG,1000,500,TIGHT_THIN,2420,100.0,-10.058148048343485,-10.052658753365261,0.0,-10.052700401250679,-10.052612684334363,-8.422730630555938,-12.4729165531556,10.053142577825183,0.000198799949552252
LONG,1000,500,WIDE_DEEP,1167,100.0,-10.037480549951528,-10.052732097729804,0.0,-10.052779435294367,-9.926185406079528,-6.681829924485879,-12.117334527403973,10.059858861394634,0.0003380120079182246
LONG,1000,500,WIDE_THIN,1176,100.0,-10.052548908004134,-10.052735992908737,0.0,-10.052781665038419,-10.052704569662838,-8.08170574649449,-12.76471042911842,10.04955368447107,0.00031206889854948664
LONG,3000,100,TIGHT_DEEP,2429,99.46480032935365,-10.111469824132872,-10.052670963254164,0.0,-10.684585434217944,-9.683885931158084,-8.632003434447247,-12.200468157720278,10.053354984991842,2.4900319563688285e-05
LONG,3000,100,TIGHT_THIN,2420,100.0,-10.060198038947865,-10.05265348266307,0.0,-10.737751158585128,-9.421156265959072,-8.422631837122214,-12.472817792467232,10.052513066241612,2.686482104742339e-05
LONG,3000,100,WIDE_DEEP,1167,100.0,-9.997791841186809,-10.052728759462953,0.0,-10.686121789455898,-9.208893321302497,-6.681547173155196,-12.117051969087681,10.052500358037642,5.533925485859827e-05
LONG,3000,100,WIDE_THIN,1176,100.0,-10.031417066259023,-10.052733210579353,0.0,-10.897070391899097,-9.103535420150997,-8.081585807613633,-12.764590571506872,10.046804070406361,0.0001409445630523208
