partition,feature,bin,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
ENGINEERING_SAMPLE,spread_bps,Q3,500,100,1490,99.79865771812081,-10.054296180074617,-10.05268317880655,0.0,-10.052697622675531,-10.052673461429007,-8.076283905360594,-12.604084315287118,10.052871257559895,5.3706784113400095e-05
ENGINEERING_SAMPLE,spread_bps,Q3,500,1000,1490,99.79865771812081,-10.054528067640007,-10.05268317880655,0.0,-10.052697622675531,-10.052673461429007,-8.076445024252326,-12.604245353534104,10.053103267195176,0.00028571641939442917
ENGINEERING_SAMPLE,spread_bps,Q3,500,500,1490,99.79865771812081,-10.054397053251277,-10.05268317880655,0.0,-10.052697622675531,-10.052673461429007,-8.076323252123712,-12.604123641293706,10.052972188037266,0.00015463726148424382
ENGINEERING_SAMPLE,spread_bps,Q3,5000,100,1490,98.65771812080537,-10.022765397987378,-10.052677903213905,0.0,-10.895623481290555,-9.099037160253275,-8.076283905360594,-12.604084315287118,10.051841840531125,2.751340543809197e-05
ENGINEERING_SAMPLE,spread_bps,Q3,5000,1000,1490,98.65771812080537,-10.022928500573775,-10.052677903213905,0.0,-10.895623481290555,-9.099037160253275,-8.076445024252326,-12.604245353534104,10.052005022539609,0.0001906954139205975
ENGINEERING_SAMPLE,spread_bps,Q3,5000,500,1490,98.65771812080537,-10.02280521810312,-10.052677903213905,0.0,-10.895623481290555,-9.099037160253275,-8.076323252123712,-12.604123641293706,10.051881680234068,6.735310838020568e-05
ENGINEERING_SAMPLE,spread_bps,Q3,60000,100,1490,95.16778523489933,-11.038772512918635,-11.316937314106195,0.0,-15.584799637333559,-7.049741986833158,-8.076283905360594,-12.604084315287118,10.05367002742362,2.8522359657260363e-05
ENGINEERING_SAMPLE,spread_bps,Q3,60000,1000,1490,95.16778523489933,-11.0390334173892,-11.316937314106195,0.0,-15.584799637333559,-7.049741986833158,-8.076445024252326,-12.604245353534104,10.053931158184493,0.00028965312053326204
ENGINEERING_SAMPLE,spread_bps,Q3,60000,500,1490,95.16778523489933,-11.038886062474628,-11.316937314106195,0.0,-15.584799637333559,-7.049741986833158,-8.076323252123712,-12.604123641293706,10.053783674228237,0.00014216916427518776
ENGINEERING_SAMPLE,spread_bps,Q4,1000,100,1389,100.0,-10.044967518916321,-10.052710962509032,0.0,-10.052727368643174,-10.052697900519862,-8.017706678459751,-12.122929329883672,10.058717178635138,-6.036278556388544e-25
ENGINEERING_SAMPLE,spread_bps,Q4,1000,1000,1389,100.0,-10.045061362349522,-10.052710962509032,0.0,-10.052727368643174,-10.052697900519862,-8.017706678459751,-12.122929329883672,10.058811075698637,9.389706349856239e-05
ENGINEERING_SAMPLE,spread_bps,Q4,1000,500,1389,100.0,-10.045041358010621,-10.052710962509032,0.0,-10.052727368643174,-10.052697900519862,-8.017706678459751,-12.122929329883672,10.058791059927518,7.388129238052256e-05
ENGINEERING_SAMPLE,spread_bps,Q4,15000,100,1389,100.0,-9.915658866776509,-10.052702068536417,0.0,-11.844922606333887,-7.944424229959975,-8.017706678459751,-12.122929329883672,10.054331810292375,-4.859726713956345e-25
ENGINEERING_SAMPLE,spread_bps,Q4,15000,1000,1389,100.0,-9.915658866776509,-10.052702068536417,0.0,-11.844922606333887,-7.944424229959975,-8.017706678459751,-12.122929329883672,10.054331810292375,-4.859726713956345e-25
ENGINEERING_SAMPLE,spread_bps,Q4,15000,500,1389,100.0,-9.915658866776509,-10.052702068536417,0.0,-11.844922606333887,-7.944424229959975,-8.017706678459751,-12.122929329883672,10.054331810292375,0.0
ENGINEERING_SAMPLE,spread_bps,Q4,250,100,1389,100.0,-10.052065051300662,-10.052710962509032,0.0,-10.052724309097911,-10.05269956764737,-8.017706678459751,-12.122929329883672,10.055014750750788,-5.998345676910435e-25
ENGINEERING_SAMPLE,spread_bps,Q4,250,1000,1389,100.0,-10.052158894733862,-10.052710962509032,0.0,-10.052724309097911,-10.05269956764737,-8.017706678459751,-12.122929329883672,10.055108647814286,9.389706349856239e-05
ENGINEERING_SAMPLE,spread_bps,Q4,250,500,1389,100.0,-10.052138890394962,-10.052710962509032,0.0,-10.052724309097911,-10.05269956764737,-8.017706678459751,-12.122929329883672,10.05508863204317,7.388129238052256e-05
ENGINEERING_SAMPLE,spread_bps,Q4,3000,100,1389,100.0,-10.016346558847086,-10.052710962509032,0.0,-10.579967400077017,-9.314692433056788,-8.017706678459751,-12.122929329883672,10.053989439053852,-7.630893464841769e-25
ENGINEERING_SAMPLE,spread_bps,Q4,3000,1000,1389,100.0,-10.016346558847086,-10.052710962509032,0.0,-10.579967400077017,-9.314692433056788,-8.017706678459751,-12.122929329883672,10.053989439053852,-7.630893464841769e-25
ENGINEERING_SAMPLE,spread_bps,Q4,3000,500,1389,100.0,-10.016346558847086,-10.052710962509032,0.0,-10.579967400077017,-9.314692433056788,-8.017706678459751,-12.122929329883672,10.053989439053852,0.0
