side,temporal_block,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,2026-08-07T05:00Z,5000,500,128,84.375,-9.578876503297257,-10.052697622675531,0.0,-10.7905393648266,-8.35037144361371,-8.076876168991015,-10.259487454168093,10.039057803852343,0.0
LONG,2026-08-07T05:00Z,15000,100,128,52.34375,-8.545550429396501,-8.840511695598067,0.0,-9.104055386529852,-7.2488304649168285,-8.076876168991015,-10.259487454168093,10.044857254035119,2.203288783353821e-24
LONG,2026-08-07T05:00Z,15000,1000,128,52.34375,-8.545550429396501,-8.840511695598067,0.0,-9.104055386529852,-7.2488304649168285,-8.076876168991015,-10.259487454168093,10.044857254035119,2.203288783353821e-24
LONG,2026-08-07T05:00Z,15000,500,128,52.34375,-8.545550429396501,-8.840511695598067,0.0,-9.104055386529852,-7.2488304649168285,-8.076876168991015,-10.259487454168093,10.044857254035119,0.0
LONG,2026-08-07T05:00Z,30000,100,128,5.46875,-7.364868783911331,-7.364868783911331,0.0,-7.364868783911331,-7.364868783911331,-8.076876168991015,-10.259487454168093,10.052722039819608,-1.4176028505752066e-27
LONG,2026-08-07T05:00Z,30000,1000,128,5.46875,-7.364868783911331,-7.364868783911331,0.0,-7.364868783911331,-7.364868783911331,-8.076876168991015,-10.259487454168093,10.052722039819608,-1.4176028505752066e-27
LONG,2026-08-07T05:00Z,30000,500,128,5.46875,-7.364868783911331,-7.364868783911331,0.0,-7.364868783911331,-7.364868783911331,-8.076876168991015,-10.259487454168093,10.052722039819608,0.0
LONG,2026-08-07T05:00Z,60000,100,128,0.0,,,,,,-8.076876168991015,-10.259487454168093,,
LONG,2026-08-07T05:00Z,60000,1000,128,0.0,,,,,,-8.076876168991015,-10.259487454168093,,
LONG,2026-08-07T05:00Z,60000,500,128,0.0,,,,,,-8.076876168991015,-10.259487454168093,,
SHORT,2026-08-07T04:00Z,250,100,7064,100.0,-10.05190221780119,-10.05273227499842,0.0,-10.052810489255798,-10.052672864919504,-7.695544885209197,-11.948349596326379,10.05292286393498,3.3710155650943036e-05
SHORT,2026-08-07T04:00Z,250,1000,7064,100.0,-10.052127342363821,-10.05273227499842,0.0,-10.052810489255798,-10.052672864919504,-7.69562873173537,-11.948436097406592,10.053147872929534,0.00025871915020446787
SHORT,2026-08-07T04:00Z,250,500,7064,100.0,-10.052018391360892,-10.05273227499842,0.0,-10.052810489255798,-10.052672864919504,-7.695604353063975,-11.948409033009003,10.053038977852099,0.00014982407277105593
SHORT,2026-08-07T04:00Z,500,100,7064,100.0,-10.050135604760214,-10.05273227499842,0.0,-10.05281968978661,-10.052670923860113,-7.695544885209197,-11.948349596326379,10.051165349613365,5.032732352469147e-05
SHORT,2026-08-07T04:00Z,500,1000,7064,100.0,-10.050414610685085,-10.05273227499842,0.0,-10.052821251426769,-10.052670923860113,-7.69562873173537,-11.948436097406592,10.051444208038783,0.0003291857489420304
SHORT,2026-08-07T04:00Z,500,500,7064,100.0,-10.05030392910464,-10.05273227499842,0.0,-10.052821251426769,-10.052670923860113,-7.695604353063975,-11.948409033009003,10.051333584945146,0.00021856265530669674
SHORT,2026-08-07T04:00Z,1000,100,7064,100.0,-10.04755176685898,-10.052731997069566,0.0,-10.05283252011913,-10.052668982943777,-7.695544885209197,-11.948349596326379,10.051781419963808,1.563347710773245e-05
SHORT,2026-08-07T04:00Z,1000,1000,7064,100.0,-10.04766705926294,-10.052731997069566,0.0,-10.05283252011913,-10.052668982943777,-7.69562873173537,-11.948436097406592,10.051896652958142,0.000130866471443049
SHORT,2026-08-07T04:00Z,1000,500,7064,100.0,-10.047611321562812,-10.052731997069566,0.0,-10.05283252011913,-10.052668982943777,-7.695604353063975,-11.948409033009003,10.051840944700693,7.515821399388831e-05
SHORT,2026-08-07T04:00Z,3000,100,7064,100.0,-10.03829799070942,-10.052730051649625,0.0,-10.68626468136298,-9.367005852269731,-7.695544885209197,-11.948349596326379,10.053646302388326,4.4412718650391245e-05
SHORT,2026-08-07T04:00Z,3000,1000,7064,100.0,-10.038576732395757,-10.052730051649625,0.0,-10.68626468136298,-9.367005852269731,-7.69562873173537,-11.948436097406592,10.053924896861439,0.00032300719176145485
SHORT,2026-08-07T04:00Z,3000,500,7064,100.0,-10.038454836187276,-10.052730051649625,0.0,-10.68626468136298,-9.367005852269731,-7.695604353063975,-11.948409033009003,10.053803058545183,0.00020116887550711754
SHORT,2026-08-07T04:00Z,5000,100,7064,100.0,-10.025971926508968,-10.052730051649625,0.0,-10.95055368472168,-9.05045871559633,-7.695544885209197,-11.948349596326379,10.050212139086943,4.796994964613369e-05
SHORT,2026-08-07T04:00Z,5000,1000,7064,100.0,-10.02619533623785,-10.052730051649625,0.0,-10.95055368472168,-9.05045871559633,-7.69562873173537,-11.948436097406592,10.050435426628031,0.0002712574907352885
SHORT,2026-08-07T04:00Z,5000,500,7064,100.0,-10.026105550322413,-10.052730051649625,0.0,-10.95055368472168,-9.05045871559633,-7.695604353063975,-11.948409033009003,10.050345686014262,0.0001815168769671708
SHORT,2026-08-07T04:00Z,15000,100,7064,100.0,-9.974314610205198,-10.052726439107682,0.0,-11.95089880949244,-8.154419011579186,-7.695544885209197,-11.948349596326379,10.052963018226249,2.935099025846266e-05
SHORT,2026-08-07T04:00Z,15000,1000,7064,100.0,-9.974492492826972,-10.052726439107682,0.0,-11.95089880949244,-8.154419011579186,-7.69562873173537,-11.948436097406592,10.053140810965743,0.00020714372975261895
SHORT,2026-08-07T04:00Z,15000,500,7064,100.0,-9.974399240953986,-10.052726439107682,0.0,-11.95089880949244,-8.154419011579186,-7.695604353063975,-11.948409033009003,10.053047600628897,0.00011393339290575446
SHORT,2026-08-07T04:00Z,30000,100,7064,100.0,-9.913138233593447,-10.05267203301939,0.0,-12.845023696682464,-6.991691723373951,-7.695544885209197,-11.948349596326379,10.051908728455926,3.134728315319437e-05
SHORT,2026-08-07T04:00Z,30000,1000,7064,100.0,-9.913333238715603,-10.05267203301939,0.0,-12.845023696682464,-6.991691723373951,-7.69562873173537,-11.948436097406592,10.052103677397929,0.0002262962251568151
SHORT,2026-08-07T04:00Z,30000,500,7064,100.0,-9.913242031326087,-10.05267203301939,0.0,-12.845023696682464,-6.991691723373951,-7.695604353063975,-11.948409033009003,10.052012488025172,0.00013510685239897342
SHORT,2026-08-07T04:00Z,60000,100,7064,98.40033975084938,-9.721791465689874,-9.947331571577473,0.546683930369731,-14.057412664387927,-4.6707257902897465,-7.695544885209197,-11.948349596326379,10.051786393876073,2.762329195356848e-05
SHORT,2026-08-07T04:00Z,60000,1000,7064,98.40033975084938,-9.721960052987072,-9.947331571577473,0.546683930369731,-14.057412664387927,-4.6707257902897465,-7.69562873173537,-11.948436097406592,10.051954932079306,0.00019616149518639033
SHORT,2026-08-07T04:00Z,60000,500,7064,98.40033975084938,-9.721869843657542,-9.947331571577473,0.546683930369731,-14.057412664387927,-4.6707257902897465,-7.695604353063975,-11.948409033009003,10.051864748071413,0.00010597748729304934
SHORT,2026-08-07T05:00Z,250,100,128,98.4375,-10.067404835057049,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.05063386398115,-1.2133959942809313e-24
SHORT,2026-08-07T05:00Z,250,1000,128,98.4375,-10.067404835057049,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.05063386398115,-1.2133959942809313e-24
SHORT,2026-08-07T05:00Z,250,500,128,98.4375,-10.067404835057049,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.05063386398115,0.0
SHORT,2026-08-07T05:00Z,500,100,128,97.65625,-10.095797095886219,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.064114291851162,-1.1387616879085117e-24
SHORT,2026-08-07T05:00Z,500,1000,128,97.65625,-10.095797095886219,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.064114291851162,-1.1387616879085117e-24
SHORT,2026-08-07T05:00Z,500,500,128,97.65625,-10.095797095886219,-10.052750624782512,0.0,-10.052759526245294,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.064114291851162,0.0
SHORT,2026-08-07T05:00Z,1000,100,128,96.875,-10.132305598704024,-10.052750624782512,0.0,-10.580186515823268,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.056978081738771,-1.147960270895682e-24
SHORT,2026-08-07T05:00Z,1000,1000,128,96.875,-10.132305598704024,-10.052750624782512,0.0,-10.580186515823268,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.056978081738771,-1.147960270895682e-24
SHORT,2026-08-07T05:00Z,1000,500,128,96.875,-10.132305598704024,-10.052750624782512,0.0,-10.580186515823268,-10.052741448294404,-9.845949196636889,-12.028067524769735,10.056978081738771,0.0
SHORT,2026-08-07T05:00Z,3000,100,128,89.84375,-10.327530205365106,-10.0527556314857,0.0,-11.551044617568932,-9.662357282077648,-9.845949196636889,-12.028067524769735,10.047224433253403,-1.8345690438653422e-25
SHORT,2026-08-07T05:00Z,3000,1000,128,89.84375,-10.327530205365106,-10.0527556314857,0.0,-11.551044617568932,-9.662357282077648,-9.845949196636889,-12.028067524769735,10.047224433253403,-1.8345690438653422e-25
SHORT,2026-08-07T05:00Z,3000,500,128,89.84375,-10.327530205365106,-10.0527556314857,0.0,-11.551044617568932,-9.662357282077648,-9.845949196636889,-12.028067524769735,10.047224433253403,0.0
SHORT,2026-08-07T05:00Z,5000,100,128,84.375,-10.527054252798703,-10.0527556314857,0.0,-11.756801429047908,-9.314176790685902,-9.845949196636889,-12.028067524769735,10.066393891011549,9.273766980589208e-25
SHORT,2026-08-07T05:00Z,5000,1000,128,84.375,-10.527054252798703,-10.0527556314857,0.0,-11.756801429047908,-9.314176790685902,-9.845949196636889,-12.028067524769735,10.066393891011549,9.273766980589208e-25
SHORT,2026-08-07T05:00Z,5000,500,128,84.375,-10.527054252798703,-10.0527556314857,0.0,-11.756801429047908,-9.314176790685902,-9.845949196636889,-12.028067524769735,10.066393891011549,0.0
SHORT,2026-08-07T05:00Z,15000,100,128,52.34375,-11.561424036774062,-11.266168537726148,0.0,-12.859451315201625,-11.002356998228297,-9.845949196636889,-12.028067524769735,10.060593400818277,-1.023156797064339e-24
SHORT,2026-08-07T05:00Z,15000,1000,128,52.34375,-11.561424036774062,-11.266168537726148,0.0,-12.859451315201625,-11.002356998228297,-9.845949196636889,-12.028067524769735,10.060593400818277,-1.023156797064339e-24
SHORT,2026-08-07T05:00Z,15000,500,128,52.34375,-11.561424036774062,-11.266168537726148,0.0,-12.859451315201625,-11.002356998228297,-9.845949196636889,-12.028067524769735,10.060593400818277,0.0
SHORT,2026-08-07T05:00Z,30000,100,128,5.46875,-12.74329283725639,-12.74329283725639,0.0,-12.74329283725639,-12.74329283725639,-9.845949196636889,-12.028067524769735,10.052722039819608,-5.271495180535531e-24
SHORT,2026-08-07T05:00Z,30000,1000,128,5.46875,-12.74329283725639,-12.74329283725639,0.0,-12.74329283725639,-12.74329283725639,-9.845949196636889,-12.028067524769735,10.052722039819608,-5.271495180535531e-24
SHORT,2026-08-07T05:00Z,30000,500,128,5.46875,-12.74329283725639,-12.74329283725639,0.0,-12.74329283725639,-12.74329283725639,-9.845949196636889,-12.028067524769735,10.052722039819608,0.0
SHORT,2026-08-07T05:00Z,60000,100,128,0.0,,,,,,-9.845949196636889,-12.028067524769735,,
SHORT,2026-08-07T05:00Z,60000,1000,128,0.0,,,,,,-9.845949196636889,-12.028067524769735,,
SHORT,2026-08-07T05:00Z,60000,500,128,0.0,,,,,,-9.845949196636889,-12.028067524769735,,
