latency_profile,side,horizon_ms,notional,samples,execution_rate_percent,mean_net_bps,positive_percent,mean_cost_bps,mean_depth_slippage_bps
NORMAL,LONG,15000,1000,7192,99.15183537263626,-10.116447213220361,0.0,10.052562739804273,0.0002744615179910885
NORMAL,LONG,30000,1000,7192,98.31757508342604,-10.189724746141897,0.0,10.053759319423568,0.00032970464812860683
NORMAL,LONG,60000,1000,7192,96.64905450500557,-10.38364912298579,0.0,10.05385212385459,0.00030467710520269914
NORMAL,SHORT,250,100,7192,99.972191323693,-10.052173890926953,0.0,10.052882750722992,3.311940744342999e-05
NORMAL,SHORT,500,100,7192,99.95828698553949,-10.050929551956035,0.0,10.05139050162056,4.945224834864662e-05
NORMAL,SHORT,1000,100,7192,99.94438264738598,-10.04901385299543,0.0,10.05187106744017,1.5363784403035898e-05
NORMAL,SHORT,3000,100,7192,99.81924360400446,-10.04293118540024,0.0,10.053543430825364,4.370127379110792e-05
NORMAL,SHORT,5000,100,7192,99.72191323692992,-10.033517505320916,0.0,10.050455812986531,4.72475912298227e-05
NORMAL,SHORT,15000,100,7192,99.15183537263626,-9.989226450280942,0.0,10.053034710223677,2.9075220191527167e-05
NORMAL,SHORT,30000,100,7192,98.31757508342604,-9.915939970579112,0.0,10.05190953360082,3.1316250628505874e-05
NORMAL,SHORT,60000,100,7192,96.64905450500557,-9.721791465689874,0.546683930369731,10.051786393876073,2.762329195356848e-05
NORMAL,SHORT,250,500,7192,99.972191323693,-10.05228802862177,0.0,10.052996829820424,0.00014719850487548527
NORMAL,SHORT,500,500,7192,99.95828698553949,-10.05109494953136,0.0,10.051555811730966,0.00021476235875455638
NORMAL,SHORT,1000,500,7192,99.94438264738598,-10.04907238032262,0.0,10.051929565317376,7.386166161002045e-05
NORMAL,SHORT,3000,500,7192,99.81924360400446,-10.043085518379149,0.0,10.0536976759141,0.00019794636252713166
NORMAL,SHORT,5000,500,7192,99.72191323692992,-10.033649116952006,0.0,10.050587348889291,0.00017878349398997416
NORMAL,SHORT,15000,500,7192,99.15183537263626,-9.989310285873344,0.0,10.053118497924183,0.000112862920696431
NORMAL,SHORT,30000,500,7192,98.31757508342604,-9.916043665556254,0.0,10.052013190452348,0.0001349731021561799
NORMAL,SHORT,60000,500,7192,96.64905450500557,-9.721869843657542,0.546683930369731,10.051864748071413,0.00010597748729304934
NORMAL,SHORT,250,1000,7192,99.972191323693,-10.05239507033035,0.0,10.053103816583567,0.00025418526801729643
NORMAL,SHORT,500,1000,7192,99.95828698553949,-10.051203706616388,0.0,10.051664511346134,0.0003234619739221732
NORMAL,SHORT,1000,1000,7192,99.94438264738598,-10.049127156493142,0.0,10.051984312553135,0.00012860889736695855
NORMAL,SHORT,3000,1000,7192,99.81924360400446,-10.043205461939074,0.0,10.05381756250917,0.0003178329575989577
NORMAL,SHORT,5000,1000,7192,99.72191323692992,-10.03373755082075,0.0,10.050675738138548,0.0002671727432451308
NORMAL,SHORT,15000,1000,7192,99.15183537263626,-9.98940266158934,0.0,10.0532108324943,0.00020519749081089614
NORMAL,SHORT,30000,1000,7192,98.31757508342604,-9.916134782654197,0.0,10.052104289551366,0.0002260722011749034
NORMAL,SHORT,60000,1000,7192,96.64905450500557,-9.721960052987072,0.546683930369731,10.051954932079306,0.00019616149518639033
STRESSED,LONG,250,100,7192,99.972191323693,-10.052475012127976,0.0,10.051667382355431,2.3625830504869657e-05
STRESSED,LONG,500,100,7192,99.95828698553949,-10.053252270990775,0.0,10.052750555050414,1.7832176374840698e-05
STRESSED,LONG,1000,100,7192,99.93047830923248,-10.055802193301716,0.0,10.052944174617371,2.0895824084593756e-05
STRESSED,LONG,3000,100,7192,99.81924360400446,-10.063018438461093,0.0,10.052317395779934,1.7897073169129848e-05
STRESSED,LONG,5000,100,7192,99.70800889877641,-10.070099584245018,0.0,10.053095781283902,1.7875714245228324e-05
STRESSED,LONG,15000,100,7192,99.15183537263626,-10.116688123362014,0.0,10.052844543192645,1.828689398064149e-05
STRESSED,LONG,30000,100,7192,98.31757508342604,-10.188236761016682,0.0,10.052299959476898,1.8030276433576816e-05
STRESSED,LONG,60000,100,7192,96.64905450500557,-10.38223655321084,0.0,10.052507494958633,2.117716772692495e-05
STRESSED,LONG,250,500,7192,99.972191323693,-10.052518967051617,0.0,10.051711360486062,6.760396113539879e-05
STRESSED,LONG,500,500,7192,99.95828698553949,-10.053300390298991,0.0,10.052798700425182,6.597755114272205e-05
STRESSED,LONG,1000,500,7192,99.93047830923248,-10.055842495283041,0.0,10.052984497754744,6.121896145734188e-05
STRESSED,LONG,3000,500,7192,99.81924360400446,-10.063057371279005,0.0,10.05235634545679,5.684675002469143e-05
STRESSED,LONG,5000,500,7192,99.70800889877641,-10.070147822331228,0.0,10.053144047141034,6.614157137590891e-05
