market,mode,variant_id,period,scenario,net_return_percent,gross_return_percent,maximum_drawdown_percent,trade_count,fees,execution_costs,net_funding,funding_source_unchanged,funding_dataset_hash,warnings
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,-3.71030547191221839116984200,-3.250636064500,4.752078482375156006961011873,9,4.8117198306672575,6.736248481767,-34.4189724287875816169842,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,HIGH,-3.8045086718723043307426100,-3.232106811300,4.831202011837507944330882100,9,9.576801040843582,13.406887964246,-34.2564970521408510742610,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,STRESS,-3.99039451968530588020445700,-3.195773029900,4.987316742520250266619023218,9,18.970061268716744,26.555580290148,-33.9365074196658440204457,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LOW,-3.31633612110427142442842300,-2.677313144700,5.537871325680869921212715858,10,3.678998089677516125,5.1505645284625,-55.0727350222871263178423,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,-3.39307549792362949682944900,-2.668676970600,5.576281593892643414301870780,10,7.3313985991239710,10.263827273602,-54.8446268596369786829449,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,HIGH,-3.5449131575042685737874500,-2.651592552800,5.670674504411995108071874450,10,14.557663559877392,20.380209271688,-54.3941876388614653787450,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,STRESS,-3.84220833466943309531877900,-2.618160105600,5.891280675672533083309727711,10,28.704610952619136,40.184402696144,-53.5158092581801735318779,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LOW,-2.42142830531870522251678200,-2.208593821400,3.027997956015079902113883710,9,1.418196205940937250,1.9854476330430,-17.8798045528865850016782,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,-2.44976947040274374925948900,-2.203447568600,3.051634291464740176427901994,9,2.8302647052349010,3.962262618398,-17.8396628566414739259489,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-2.50610560131424782087462600,-2.193241636900,3.098616405690904409407955080,9,5.636197261099166,7.890246290178,-17.7599528901476160874626,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-2.61743995179527611492995800,-2.173190435800,3.191453044916061480002987166,9,11.176555791164048,15.645474326328,-17.6029214820355634929958,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LOW,-2.09465306422045701021079700,-1.758883495900,3.296473438163248848103705780,10,2.068747006503089125,2.8962242627815,-28.6119855627611118960797,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,-2.13819366889112695788752800,-1.754217900800,3.328977108128495274270285170,10,4.1240548941465280,5.773590895128,-28.4999310198381677887528,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,HIGH,-2.22443895588271587815946900,-1.744977620600,3.393410893682914782861897894,10,8.194950588846884,11.472588808772,-28.2785941306527038159469,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,STRESS,-2.39369277285877682882859600,-1.726873897300,3.520045291117561736644672601,10,16.181983636602488,22.653423222108,-27.8464806971671948828596,True,377e9dc7ab64ad8a07a69397a7a6178b88361517efe325fdfcf015d7f3d0f9b4,[]
