configuration,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_BASELINE_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-5.533890671798695372116827012,-5.033775044300413428571428564,-553.3890671798695372116827012,-503.3775044300413428571428564,23,4,19,26.08695652173913043478260870,0.6099295445964125600757316561,-24.06039422521171900920359570,-77.94021699744582643714285681,6.312699358270499580243824030,1.844262295081967213114754098,3.187613843351548269581056466,50.28717146933264301285714286,5.655574542244465176516231,5.931183261748913834833529,0.275608719504448658317298,0,False,False,23,17,6,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",20.53265891654600730676472841,57.51662789390606454216990150,86.38275662935504083845087797,-731.0583630569901113831112730,-1051.081003751310294312565016,-1300.859894442992372911512159,
FUTURES_LONG_SHORT_BASELINE_1X,2025,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,6.368141030701691465323751786,7.149759531338226357142857128,636.8141030701691465323751786,714.9759531338226357142857128,33,12,21,45.45454545454545454545454545,1.387679012182024864493929136,19.29739706273239837976894481,-62.68336246657723383010142835,5.536779615383505484767593588,4.680365296803652968036529680,5.936073059360730593607305936,73.87453198189226917214285716,11.853085580345907190086362,7.565767498584687180318685,-4.287318081761220009767677,0,True,False,33,18,15,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",8.376672942112976827663801814,24.68633823745346372858625871,40.52766847328406862299749084,445.8723252960213697463024109,74.1022313799406586188738394,-286.9924154374234118956781783,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-5.555827394811253011811893178,-4.078760013403382928571428570,-555.5827394811253011811893178,-407.8760013403382928571428570,65,19,46,36.92307692307692307692307692,0.7827260334913860998853554128,-8.547426761248081556633681812,-21.905508420008299873684776,8.335754987569748680164420450,2.113163972286374133949191686,4.630484988452655889145496536,140.4172319576081536078571428,10.702984909211694301692963,3.413478726032839585503645,-7.289506183178854716189318,0,False,False,67,23,7,35,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",9.585458890793580885229829897,27.97454767646722433750649189,42.93026632807313412106182149,-747.4335947957767615583321752,-1115.487169714032303407090658,-1414.822595158471589697804943,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.9088002788502822494444285771,-0.7335582880598139857142857199,-90.88002788502822494444285771,-73.35582880598139857142857199,7,5,2,42.85714285714285714285714286,0.5848684853522467651126394467,-12.98286112643260356349183682,-24.508006694848465407000000,1.280036048821855692349043490,0.2853881278538812785388127854,0.2511415525114155251141552511,16.45334797477246882071428571,1.070851104274357552300000,0,-1.070851104274357552300000,0,False,False,7,3,1,3,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",73.22329083500063547178881918,100,100,-184.6341154678749301612857154,-218.9186430766202098412857154,-218.9186430766202098412857154,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-4.548945359464863651306146281,-3.889760115294212185714285702,-454.8945359464863651306146281,-388.9760115294212185714285702,30,11,19,33.33333333333333333333333333,0.5963594051067039159984674797,-15.16315119821621217102048760,-28.764279742123253597680000,5.089247463157510987553192165,1.058743169398907103825136612,1.593806921675774134790528233,64.90572867424081760785714285,3.232396703617802823250547,2.219600960793473871921632,-1.012795742824328951328915,0,False,False,30,10,3,17,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",25.84911166250643585789569708,65.72010041042945392108296941,85.34255734404740038802029820,-628.6224392014795974049003427,-896.5892214382217430199003431,-1028.468736072896125370851199,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2025,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,9.971850163272186532339649990,10.97884246758241527142857143,997.185016327218653233964999,1097.884246758241527142857143,42,19,23,52.38095238095238095238095238,1.927417507429092714750224482,23.74250038874330126747535712,6.759299492683918210645000,2.583505972440461364666709644,2.134703196347031963470319635,2.066210045662100456621004566,95.66860452497282438071428569,6.601753401689586252028440,1.571127495639536723850583,-5.030625906050049528177857,0,True,False,42,7,11,24,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",8.698736158583940286202784242,25.67791189478718308109858657,41.99897350101042578244390593,816.9112998714514784968221421,465.0326985989619843505624215,126.7929384064463255777052787,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.517565037263877354883935520,-2.211383811207378128571428570,-351.7565037263877354883935520,-221.1383811207378128571428570,55,16,39,34.54545454545454545454545455,0.8622343075231417185871651813,-6.395572795025231554334428218,-49.797997758145285997705110,8.296781796186236643230034883,2.944572748267898383371824480,6.073903002309468822170900693,122.3340332917518249921428572,12.473814793409555585488165,4.189725479511457946380327,-8.284089313898097639107838,0,False,False,56,25,11,19,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",8.812170214512619676381211167,25.93169642661903272005720505,42.71422321994189377524680299,-545.7598553088718439083935522,-922.6528773232591481978751388,-1292.126726178952059921956419,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-2.263178874203505582686425544,-2.105389795563183357142857163,-226.3178874203505582686425544,-210.5389795563183357142857163,6,4,2,16.66666666666666666666666667,0.3214576055108514605825743377,-37.71964790339175971144042573,-64.3094509785696001342857147,2.263178874203505582686425550,0.3196347031963470319634703196,0.4452054794520547945205479452,14.36762692989834255928571428,1.466693236804809041400000,0.055412302670929046328876,-1.411280934133879995071124,0,False,False,6,5,1,0,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",100,100,100,-333.5353682517325808300996979,-333.5353682517325808300996979,-333.5353682517325808300996979,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.445855337893695060503330887,-2.9034734051149562000000000,-344.5855337893695060503330887,-290.3473405114956200000000000,25,6,19,32.00,0.7243234155751834630512459580,-13.78342135157478024201332355,-55.53807337417670184574217153,4.818068882050055691387966434,1.206739526411657559198542805,2.299635701275045537340619308,54.31842820807298122857142858,3.793321391399297886974770,3.873556321598393065213110,0.080234930199095178238340,0,False,False,25,13,5,7,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",19.56626618578888160874489616,49.58179031488215664014040526,76.32930872982847550339006720,-521.7341011507841792389045176,-793.4878965648920014431902323,-1035.653904258390886823926464,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2025,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,6.833613305206798702237495369,7.695214040147992671428571412,683.3613305206798702237495369,769.5214040147992671428571412,36,14,22,47.22222222222222222222222222,1.569965656460018772439956413,18.98225918112999639510415380,-6.485445853946361635681879,4.591489500157716453482519288,2.728310502283105022831050228,3.002283105022831050228310502,80.44579113509364345214285714,7.696616400591612139481906,1.982334041565858672517159,-5.714282359025753466964747,0,True,False,36,11,11,14,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",9.745181040456064848583675755,28.51924791728617178813820871,46.51427625645072724849854896,499.9265114911192481437495372,146.5397918700508441356300588,-192.1829833275647276072270840,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.431731077329327469886369956,-2.311282910768853235714285718,-343.1731077329327469886369956,-231.1282910768853235714285718,44,13,31,27.27272727272727272727272727,0.8808049829718453250335929996,-7.799388812112107886105386264,-78.86364552753186615384250075,8.256880049625654422379623304,5.946882217090069284064665127,12.60969976905311778290993072,100.5826605387450551089285714,17.861045501256570908976431,6.398889383954202600696579,-11.462156117302368308279852,0,False,False,45,32,12,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",9.641099182730392126283455190,28.52206337443529570431632361,47.29050161870687487782196586,-587.6633107803183557232084240,-1066.468754170956948962201153,-1542.420633749561241047883659,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.986244244219674815631949324,-1.827939743059676285714285735,-198.6244244219674815631949324,-182.7939743059676285714285735,6,4,2,16.66666666666666666666666667,0.4059830615025243942396290764,-33.10407073699458026053248873,-64.4618102835101048350000004,1.986244244219674815631949330,0.3310502283105022831050228311,0.4452054794520547945205479452,14.41571196464588952285714286,1.470199750711357732480000,0.055461599357394263570784,-1.414738151353963468909216,0,False,False,6,5,1,0,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",100,100,100,-334.3750178645984451707149328,-334.3750178645984451707149328,-334.3750178645984451707149328,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-4.182815079752971378694772457,-3.644395713828971157142857144,-418.2815079752971378694772457,-364.4395713828971157142857144,24,4,20,25.00,0.7186785814792288974737656190,-17.42839616563738074456155190,-79.20571635805139994535714255,5.780329446659709089251669200,3.107923497267759562841530055,3.312841530054644808743169399,51.15976931295811718642857145,8.572888669680299511353612,5.890721390238394542590652,-2.682167279441904968762960,0,False,False,24,18,6,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",20.57593764129800447966081906,57.13247746519249509990115029,86.22120430226187140899960032,-638.1485853033210034694772459,-1028.778636211569885540901131,-1339.610320500064585661186845,
