configuration,regime,period,candle_count,signal_count,entry_count,long_entries,short_entries,net_pnl,mean_trade_pnl,median_trade_pnl,win_rate_percent,expectancy,maximum_drawdown_percent,exposure_percent,fees,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,2024,121,19,18,0,18,-661.2296209046042869104406126,-36.73497893914468260613558959,-87.3765541287742728626000000,22.22222222222222222222222222,-36.73497893914468260613558959,7.227628428503211172117051980,66.11570247933884297520661157,40.44388594741293294714285715,5.765560075106820322416530,30.69533335998573724381179385,78.59242455814699284915521022,100,-844.9226079483357290132977557,-1131.557701619145988846869185,-1259.669080380201902846859185,
FUTURES_SHORT_MIRRORED_1X,RANGING,2024,8577,0,1,0,1,-55.66380088892041847793130014,-55.66380088892041847793130014,-55.66380088892041847793130014,0,-55.66380088892041847793130014,0.55663800888920418477931300,2.261863122303835840037309082,2.407633409134092091428571428,0.321958301401376470640128,0,0,0,-55.66380088892041847793130014,-55.66380088892041847793130014,-55.66380088892041847793130014,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2024,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,2024,6,0,0,0,0,0,,,,,0,100,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_UP,2025,164,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,2025,159,21,20,0,20,141.7723110824457668026723350,7.08861555412228834013361675,-95.5969749133938683120000002,40.0,7.08861555412228834013361675,5.851412096035502646934646481,79.24528301886792452830188679,44.30573859274671568000000000,6.939045921744302482672337,14.32331686451429850897066566,42.51136038759599880024979664,68.78783155906642637515163020,-46.6624061854712805647960192,-417.4987188811030618030468621,-763.1867646620063571173325765,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,RANGING,2025,8424,0,0,0,0,0,,,,,0,4.677113010446343779677113010,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2025,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,2025,13,0,1,0,1,192.7940400087060286114285712,192.7940400087060286114285712,192.7940400087060286114285712,100,192.7940400087060286114285712,0,0,1.107811662884908531428571428,0,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_UP,ALL,440,33,32,32,0,87.34547794584499548876158295,2.729546185807656109023799467,-68.46327047158217776714285755,37.500,2.729546185807656109023799467,5.215084681415613848692573610,70.22727272727272727272727273,76.69331006244444141428571428,-25.200582691886211668381277,11.18250323489998741821840632,32.95273740898576281421772909,52.93822360970180555977710841,-111.1010269938766428203913178,-497.4391118408736325080208430,-852.1047714648572640049031574,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,ALL,687,82,73,0,73,-314.4233932915529199410453536,-4.307169771117163286863634981,-85.16533033468743186020000031,34.24657534246575342465753425,-4.307169771117163286863634981,12.64290760763752526200464595,72.48908296943231441048034934,159.5313318903285251250000000,8.700647880816015183954649,4.931428726176114494901372983,14.46523514130594763840369126,23.90310589127738973451112541,-519.8588502932093019949535491,-917.0220227955983024563821208,-1310.188668467951535709939816,
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,ALL,33787,0,8,1,7,-158.7522211595432576234145015,-19.84402764494290720292681269,-60.1035938821828887638621040,25.00,-19.84402764494290720292681269,1.871912458636494257273575800,5.946073933761505904637878474,18.17009909445694237071428570,0.264605768588463318728356,53.41011424571105203403465117,100,100,-323.3854781687163515148430727,-466.9958175910815057386532167,-466.9958175910815057386532167,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,ALL,50,0,1,0,1,187.7294464897112692114285712,187.7294464897112692114285712,187.7294464897112692114285712,100,187.7294464897112692114285712,0,18.00,1.078710059080867931428571429,0,100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_UP,2022,151,13,13,13,0,-324.7046977986531775943866566,-24.97728444605024443033743512,-83.57922279230715859528142895,23.07692307692307692307692308,-24.97728444605024443033743512,5.215084681415613848692573610,69.53642384105960264900662252,31.19021580748121131214285714,-7.469820859138090567958088,33.93497510119044326970417421,100,100,-523.1512027383748159035395573,-909.4892875853718055911690826,-909.4892875853718055911690826,
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,2022,395,40,34,0,34,262.9378046377888747674096388,7.733464842287908081394401141,-80.06375418412159770779135485,38.23529411764705882352941176,7.733464842287908081394401141,5.481108114757725899674603368,72.65822784810126582278481013,74.40124542076500785000000000,-3.765592720738877382590361,8.978579214159877023315086861,26.33663929446525454861540158,43.52003073066845021377632501,57.5023476361324927135014433,-339.6608248662565077479271284,-732.8274705386097410014848240,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,2022,8083,0,5,0,5,13.6822551490103284085954214,2.73645102980206568171908428,-77.80972653317689629428571399,40.0,2.73645102980206568171908428,1.871912458636494257273575800,12.26029939378943461586044785,10.90044828328440610714285714,0.467493932348248801452564,53.41011424571105203403465117,100,100,-150.9510018601627654828331498,-294.5613412825279197066432938,-294.5613412825279197066432938,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2022,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,2022,31,0,0,0,0,0,,,,,0,9.677419354838709677419354839,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_UP,2023,45,4,3,3,0,-26.33446333286345735618571448,-8.778154444287819118728571493,-66.29837016651750456000000041,33.33333333333333333333333333,-8.778154444287819118728571493,1.354288056447113283748300992,28.88888888888888888888888889,7.364455896851179841428571428,-0.998567645068360371900000,100,100,100,-136.9265409431643555342857151,-136.9265409431643555342857151,-136.9265409431643555342857151,
