configuration,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning,window_days,step_days
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,365D-9,2023-12-22T00:00:00+00:00,2024-12-20T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.445855337893695060503330887,-2.9034734051149562000000000,-344.5855337893695060503330887,-290.3473405114956200000000000,25,6,19,32.00,0.7243234155751834630512459580,-13.78342135157478024201332355,-55.53807337417670184574217153,4.818068882050055691387966434,1.210045662100456621004566210,2.305936073059360730593607306,54.31842820807298122857142858,3.793321391399297886974770,3.873556321598393065213110,0.080234930199095178238340,0,False,False,25,13,5,7,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8553, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",19.56626618578888160874489616,49.58179031488215664014040526,76.32930872982847550339006720,-521.7341011507841792389045176,-793.4878965648920014431902323,-1035.653904258390886823926464,,365,90
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,365D-10,2024-03-21T00:00:00+00:00,2025-03-20T23:59:59.999999+00:00,TRADE_EXIT_TIME,0.5415296859339764437263765095,1.192570800092062099999999996,54.15296859339764437263765095,119.2570800092062099999999996,31,5,26,35.48387096774193548387096774,1.036168940592342574334058208,1.746869954625730463633472611,-55.53807337417670184574217153,4.366906856038131377220601388,0.9474885844748858447488584475,2.933789954337899543378995434,65.19170972568654748357142857,3.447291064737321039758224,3.534889374615302895967304,0.087598309877981856209080,0,True,False,31,15,9,7,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 8509, ""TRENDING_DOWN"": 158, ""TRENDING_UP"": 74}",11.82400826705081817409589951,34.59367873674745815931206124,55.23481981830659984043275067,-129.2818504361629777073623488,-482.5250390095850560143389706,-802.7467348460530703000532560,RESULT_DEPENDS_ON_FEW_TRADES,365,90
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,365D-11,2024-06-19T00:00:00+00:00,2025-06-18T23:59:59.999999+00:00,TRADE_EXIT_TIME,4.634630175672255544144551559,5.367997648871759042857142849,463.4630175672255544144551559,536.7997648871759042857142849,33,10,23,42.42424242424242424242424242,1.345395368571988713361846063,14.04433386567350164892288351,-28.856042641353034592050976,4.641109122575948785150829947,1.792237442922374429223744292,2.762557077625570776255707763,70.29509004638623483785714286,5.623340135864321317663860,2.581682862300206284261874,-3.041657273564115033401986,0,True,False,33,13,11,9,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 8463, ""TRENDING_DOWN"": 163, ""TRENDING_UP"": 115}",10.16092561643876945824789392,29.79430416140554312461960192,49.13899474516994657898061317,280.0281985376649323344551562,-74.4124672328107397438305582,-423.6414597839198510250928936,RESULT_DEPENDS_ON_FEW_TRADES,365,90
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,365D-12,2024-09-17T00:00:00+00:00,2025-09-16T23:59:59.999999+00:00,TRADE_EXIT_TIME,5.355711449228929407300415385,6.175382504202777271428571410,535.5711449228929407300415385,617.5382504202777271428571410,34,16,18,47.05882352941176470588235294,1.469079741334486463022501470,15.75209249773214531558945701,-6.485445853946361635681879,4.637943348863890069503763351,3.013698630136986301369863014,2.385844748858447488584474886,75.05503447721090905642857143,8.895342833900054720470056,1.983271813726177364083025,-6.912071020173877356387031,0,True,False,34,11,10,13,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8411, ""TRENDING_DOWN"": 136, ""TRENDING_UP"": 200}",10.93618661324222275650723189,32.00472274429546616315646235,51.99413616424262368951226150,352.1363258933323186500415388,-1.2503937277360853580779396,-336.5367748832240851362950824,RESULT_DEPENDS_ON_FEW_TRADES,365,90
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,365D-13,2024-12-16T00:00:00+00:00,2025-12-15T23:59:59.999999+00:00,TRADE_EXIT_TIME,7.119807824174730339931195366,8.016848157756444171428571412,711.9807824174730339931195366,801.6848157756444171428571412,38,14,24,47.36842105263157894736842105,1.550266325690125970100613088,18.73633637940718510508209307,-6.485445853946361635681879,4.579192914270687093690878190,2.728310502283105022831050228,3.253424657534246575342465753,84.63171608125753246714285714,7.696616400591612139481906,2.624299123677761456887159,-5.072317276913850682594747,0,True,False,38,12,12,14,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8407, ""TRENDING_DOWN"": 176, ""TRENDING_UP"": 164}",9.144924555915183369984691006,26.76259881805313102608129080,43.64921958579970620412261568,528.5459633879124119131195369,175.1592437668440079050000585,-163.5635314307715638378570843,,365,90
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-1,2022-01-05T04:00:00+00:00,2022-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.971615230367743356078296651,-1.746930238131294857142857152,-197.1615230367743356078296651,-174.6930238131294857142857152,10,2,8,20.0,0.7109411408015363828548984504,-19.71615230367743356078296651,-76.0361839344871493491221607,5.561543825966385952054783529,3.446601941747572815533980583,25.19417475728155339805825243,22.82406614094411962571428572,2.430271621084003543306926,2.785838538383273275477262,0.355566917299269732170336,0,False,False,10,8,2,0,0,"{""RANGING"": 1939, ""TRENDING_DOWN"": 101, ""TRENDING_UP"": 20}",50.41873377046796516447383446,100,100,-441.6517260841599443424010935,-682.0808868598145805871741085,-682.0808868598145805871741085,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-2,2022-01-31T00:00:00+00:00,2022-04-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-7.515388999781984823389406874,-7.286573687700963357142857158,-751.5388999781984823389406874,-728.6573687700963357142857158,9,2,7,0,0E+25,-83.50432221979983137099340971,-81.43797904205562831032428607,7.515388999781984823389406880,3.287037037037037037037037037,8.657407407407407407407407407,21.39673187200174398071428572,2.777525328003750244022536,1.292725991903347600081850,-1.484799336100402643940686,0,False,False,8,9,0,0,0,"{""RANGING"": 2103, ""TRENDING_DOWN"": 37, ""TRENDING_UP"": 20}",0,0,0,-751.5388999781984823389406874,-751.5388999781984823389406874,-751.5388999781984823389406874,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-3,2022-03-02T00:00:00+00:00,2022-05-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.617661437733399587402499514,-3.452206406388248700000000014,-361.7661437733399587402499514,-345.2206406388248700000000014,7,1,6,14.28571428571428571428571429,0.3228929177138787510998986097,-51.68087768190570839146427877,-85.47947353615299197657142892,3.617661437733399587402499510,1.805555555555555555555555556,8.055555555555555555555555556,16.63617597464239989214285714,1.595231012454890292578916,1.685903852582201444471823,0.090672840127311151892907,0,False,False,8,6,1,0,0,"{""HIGH_VOLATILITY"": 21, ""RANGING"": 2073, ""TRENDING_DOWN"": 65, ""TRENDING_UP"": 1}",100,100,100,-534.2820260451367102719787194,-534.2820260451367102719787194,-534.2820260451367102719787194,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-4,2022-04-01T00:00:00+00:00,2022-06-29T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7373604975820476333321774516,-0.4442606814642997357142857185,-73.73604975820476333321774516,-44.42606814642997357142857185,13,3,10,30.76923076923076923076923077,0.9140672170079907099219910823,-5.672003827554212564093672705,-88.76371432206230590985846692,2.984683955960688085927300699,6.064814814814814814814814815,11.34259259259259259259259259,27.27134794981338777678571429,3.007187481956226098734418,0.968553819994824113730959,-2.038633661961401985003459,0,False,False,15,9,4,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 1967, ""TRENDING_DOWN"": 140, ""TRENDING_UP"": 22}",30.33110173084179415802279323,82.01854635700165774218583435,100,-311.6321427203761672423156795,-717.0325545115092806930444475,-858.0665863580994987507669657,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-5,2022-05-01T00:00:00+00:00,2022-07-29T23:59:59.999999+00:00,TRADE_EXIT_TIME,5.381198403991142490123907977,5.864080893234055050000000005,538.1198403991142490123907977,586.4080893234055050000000005,20,8,12,40.0,1.467580316366917739187850644,26.90599201995571245061953988,-80.01190063482509702039619415,3.479078291305118902757321372,14.53703703703703703703703704,13.33333333333333333333333333,43.68624624047166015321428571,6.169708726130848074096865,1.567706042311252239701948,-4.602002683819595834394917,0,True,False,22,12,8,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 1849, ""TRENDING_DOWN"": 176, ""TRENDING_UP"": 104}",14.11361870654337876479329519,42.29344967523399338737238104,69.78783075187193692585564684,299.7435577841302920181710837,-176.2083217944740000675114219,-640.5830856394213870759497483,RESULT_DEPENDS_ON_FEW_TRADES,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-6,2022-05-31T00:00:00+00:00,2022-08-28T23:59:59.999999+00:00,TRADE_EXIT_TIME,4.437732953524648861288592560,5.029814672670836907142857156,443.7732953524648861288592560,502.9814672670836907142857156,22,10,12,36.36363636363636363636363636,1.347893293653246111554889008,20.17151342511204027858451164,-73.71554403264107022387062305,3.699112501490453311215436933,18.37962962962962962962962963,13.84259259259259259259259259,49.34419488800470605892857144,10.814660243063608381924223,0.950683216449509855426335,-9.863977026614098526497888,0,True,False,21,14,8,0,0,"{""HIGH_VOLATILITY"": 10, ""RANGING"": 1868, ""TRENDING_DOWN"": 170, ""TRENDING_UP"": 112}",13.86412364184239088520499103,41.54580251382539295210938531,68.55414861047276259529176412,205.3970127374809291346395420,-270.5548668411233629510429636,-734.9296306860707499594812900,RESULT_DEPENDS_ON_FEW_TRADES,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-7,2022-06-30T00:00:00+00:00,2022-09-27T23:59:59.999999+00:00,TRADE_EXIT_TIME,3.804449094574482205581080148,4.261456698312816985714285728,380.4449094574482205581080148,426.1456698312816985714285728,16,7,9,37.500,1.429288756134463150623813787,23.77780684109051378488175092,-70.9623478924881194502251431,3.744377284588110743425815677,12.31481481481481481481481481,9.537037037037037037037037037,38.77592520143676622500000002,8.682602916419520071221167,1.757767744022808282900609,-6.924835172396711788320558,0,True,False,15,10,6,0,0,"{""RANGING"": 1947, ""TRENDING_DOWN"": 122, ""TRENDING_UP"": 91}",18.81918457943739642503359464,55.88861589916741914471223024,87.43899881899208711392232657,142.0686268424642635638883008,-327.4773940995796497021345974,-727.1154848872478576767067912,RESULT_DEPENDS_ON_FEW_TRADES,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-8,2022-07-30T00:00:00+00:00,2022-10-27T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.5716779284165549390107063243,-0.3575624788745245142857142809,-57.16779284165549390107063243,-35.75624788745245142857142809,7,2,5,28.57142857142857142857142857,0.8636212745677950939481954829,-8.16682754880792770015294749,-71.72366185311757628230742833,1.851610780141696510032018050,5.648148148148148148148148148,5.694444444444444444444444444,17.39733251058427123428571429,5.172827965325151395143110,1.158615521706380156929620,-4.014212443618771238213490,0,False,False,7,5,2,0,0,"{""RANGING"": 2058, ""TRENDING_DOWN"": 75, ""TRENDING_UP"": 27}",56.05005182006659963690135380,100,100,-260.0781188017318913733683060,-419.1840967898920504615716798,-419.1840967898920504615716798,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-9,2022-08-29T00:00:00+00:00,2022-11-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.125536886632488735654301345,-2.953289946977264428571428570,-312.5536886632488735654301345,-295.3289946977264428571428570,6,1,5,16.66666666666666666666666667,0.3373321681663976281999433705,-52.09228144387481226090502242,-90.0422471366078232324597940,4.642728087228924508352330463,2.175925925925925925925925926,5.833333333333333333333333333,14.26845813327181056142857143,4.265489416707484965776366,1.309253584456864818917660,-2.956235832250620146858706,0,False,False,6,5,1,0,0,"{""RANGING"": 2081, ""TRENDING_DOWN"": 61, ""TRENDING_UP"": 18}",100,100,100,-471.6596666514090326536335083,-471.6596666514090326536335083,-471.6596666514090326536335083,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-10,2022-09-28T00:00:00+00:00,2022-12-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-4.527204443954018686056976002,-4.381548689486075628571428576,-452.7204443954018686056976002,-438.1548689486075628571428576,5,1,4,0,0E+25,-90.54408887908037372113952004,-87.986171282469485907000000,4.52720444395401868605697600,2.175925925925925925925925926,5.648148148148148148148148148,11.71132124655078148142857143,3.740983481796821195713920,0.886729281553296928587749,-2.854254200243524267126171,0,False,False,5,5,0,0,0,"{""RANGING"": 2110, ""TRENDING_DOWN"": 32, ""TRENDING_UP"": 18}",0,0,0,-452.7204443954018686056976002,-452.7204443954018686056976002,-452.7204443954018686056976002,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-11,2022-10-28T00:00:00+00:00,2023-01-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,-4.527204443954018686056976002,-4.381548689486075628571428576,-452.7204443954018686056976002,-438.1548689486075628571428576,5,1,4,0,0E+25,-90.54408887908037372113952004,-87.986171282469485907000000,4.52720444395401868605697600,0.3703703703703703703703703704,5.648148148148148148148148148,11.71132124655078148142857143,3.740983481796821195713920,0.886729281553296928587749,-2.854254200243524267126171,0,False,False,4,5,0,0,0,"{""RANGING"": 2124, ""TRENDING_DOWN"": 32, ""TRENDING_UP"": 4}",0,0,0,-452.7204443954018686056976002,-452.7204443954018686056976002,-452.7204443954018686056976002,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-12,2022-11-27T00:00:00+00:00,2023-02-24T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.375598971414699111556979660,-1.334040684454150057142857150,-137.5598971414699111556979660,-133.4040684454150057142857150,2,1,1,0,0E+25,-68.7799485707349555778489830,-68.7799485707349555778489830,1.375598971414699111556979660,0.04629629629629629629629629630,3.564814814814814814814814815,4.851387640480526049999999999,0,0.695558944425620608587749,0.695558944425620608587749,0,False,False,2,2,0,0,0,"{""RANGING"": 2144, ""TRENDING_DOWN"": 6, ""TRENDING_UP"": 10}",0,0,0,-137.5598971414699111556979660,-137.5598971414699111556979660,-137.5598971414699111556979660,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-13,2022-12-27T00:00:00+00:00,2023-03-26T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7905917404658010553033778858,-0.6849617691981533714285714395,-79.05917404658010553033778858,-68.49617691981533714285714395,4,3,1,25.00,0.6319572663261185591187834862,-19.76479351164502638258444714,-64.4618102835101048350000004,1.502869433289217741135720740,1.296296296296296296296296296,0.7870370370370370370370370370,9.648774493823621818571428571,0.969684232298540832480000,0.055461599357394263570784,-0.914222632941146568909216,0,False,False,4,3,1,0,0,"{""RANGING"": 2128, ""TRENDING_DOWN"": 7, ""TRENDING_UP"": 25}",100,100,100,-214.8097674892110691378577890,-214.8097674892110691378577890,-214.8097674892110691378577890,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-14,2023-01-26T00:00:00+00:00,2023-04-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.7905917404658010553033778858,-0.6849617691981533714285714395,-79.05917404658010553033778858,-68.49617691981533714285714395,4,3,1,25.00,0.6319572663261185591187834862,-19.76479351164502638258444714,-64.4618102835101048350000004,1.502869433289217741135720740,1.296296296296296296296296296,0.7870370370370370370370370370,9.648774493823621818571428571,0.969684232298540832480000,0.055461599357394263570784,-0.914222632941146568909216,0,False,False,4,3,1,0,0,"{""RANGING"": 2130, ""TRENDING_DOWN"": 7, ""TRENDING_UP"": 23}",100,100,100,-214.8097674892110691378577890,-214.8097674892110691378577890,-214.8097674892110691378577890,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-15,2023-02-25T00:00:00+00:00,2023-05-25T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.1465837763984919088462350244,-0.06478578424766654285714286440,-14.65837763984919088462350244,-6.47857842476665428571428644,3,2,1,33.33333333333333333333333333,0.9025431958323088413352567858,-4.886125879949730294874500813,-64.52282416028929502428571468,0.8588614692219085946785778800,1.2500,0.7870370370370370370370370370,7.265576582141390030000000000,0.969684232298540832480000,0.055461599357394263570784,-0.914222632941146568909216,0,False,False,3,2,1,0,0,"{""RANGING"": 2136, ""TRENDING_DOWN"": 7, ""TRENDING_UP"": 17}",100,100,100,-150.4089710824801544921435028,-150.4089710824801544921435028,-150.4089710824801544921435028,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-16,2023-03-27T00:00:00+00:00,2023-06-24T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2154, ""TRENDING_UP"": 6}",0,0,0,0,0,0,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-17,2023-04-26T00:00:00+00:00,2023-07-24T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2156, ""TRENDING_UP"": 4}",0,0,0,0,0,0,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-18,2023-05-26T00:00:00+00:00,2023-08-23T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.5082858252310502515000000062,-0.4790967024368340000000000062,-50.82858252310502515000000062,-47.90967024368340000000000062,1,0,1,0,0E+26,-50.82858252310502515000000062,-50.82858252310502515000000062,0.5082858252310502515000000100,0,1.018518518518518518518518519,2.41839676100880825000000,0.500515518412816900000000,0,-0.500515518412816900000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2151, ""TRENDING_DOWN"": 5, ""TRENDING_UP"": 4}",0,0,0,-50.82858252310502515000000062,-50.82858252310502515000000062,-50.82858252310502515000000062,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-19,2023-06-25T00:00:00+00:00,2023-09-22T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.5082858252310502515000000062,-0.4790967024368340000000000062,-50.82858252310502515000000062,-47.90967024368340000000000062,1,0,1,0,0E+26,-50.82858252310502515000000062,-50.82858252310502515000000062,0.5082858252310502515000000100,0,1.018518518518518518518518519,2.41839676100880825000000,0.500515518412816900000000,0,-0.500515518412816900000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2155, ""TRENDING_DOWN"": 5}",0,0,0,-50.82858252310502515000000062,-50.82858252310502515000000062,-50.82858252310502515000000062,,90,30
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,90D-20,2023-07-25T00:00:00+00:00,2023-10-22T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.5082858252310502515000000062,-0.4790967024368340000000000062,-50.82858252310502515000000062,-47.90967024368340000000000062,1,0,1,0,0E+26,-50.82858252310502515000000062,-50.82858252310502515000000062,0.5082858252310502515000000100,0,1.018518518518518518518518519,2.41839676100880825000000,0.500515518412816900000000,0,-0.500515518412816900000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2155, ""TRENDING_DOWN"": 5}",0,0,0,-50.82858252310502515000000062,-50.82858252310502515000000062,-50.82858252310502515000000062,,90,30
