configuration,boundary,segment,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning,boundary_classification,selection_eligible
FUTURES_SHORT_MIRRORED_1X,A,VALIDATION,A-VALIDATION,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-7.168934217935247053883719127,-6.801294208134858771428571420,-716.8934217935247053883719127,-680.1294208134858771428571420,19,0,19,21.05263157894736842105263158,0.4549718690968803739557601909,-37.73123272597498449412483751,-85.04702201795007629571428543,7.465690845266350634819261980,0,3.187613843351548269581056466,42.85151935654702503857142858,0.119711905213007120146844,6.207230281721203913203502,6.087518376508196793056658,0,False,False,19,15,4,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",30.69533335998573724381179385,78.59242455814699284915521022,100,-900.5864088372561474912290558,-1187.221502508066407324800485,-1315.332881269122321324790485,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,A,REFERENCE_ONLY,A-REFERENCE,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,3.345663510911517954141009062,3.730408554250391171428571408,334.5663510911517954141009062,373.0408554250391171428571408,21,0,21,42.85714285714285714285714286,1.285026503046796752495982571,15.93173100434056168638575744,-91.99359212880502257828571452,5.747144624356417734707728434,0,5.936073059360730593607305936,45.41355025563162421142857143,0.668899205497963865995028,7.607945127242266348667365,6.939045921744302482672337,0,True,False,21,12,9,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",12.78157886256018286175886514,37.58919601581595219492006110,61.92316874918598226698260677,141.7723110824457668026723350,-232.4193897546960046067960190,-599.4667602849745141801897190,,SIGN_CHANGE,False
FUTURES_SHORT_MIRRORED_1X,B,DEVELOPMENT,B-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,-4.282936268192924146067155711,-3.154712607848476500000000017,-428.2936268192924146067155711,-315.4712607848476500000000017,50,0,50,32.00,0.8672463435053946143867358990,-8.565872536385848292134311422,-84.7908903600053183565792781,11.13264012522794382015271775,0,5.002753809436387002019460253,113.1691932108832827750000000,9.896140120353010410199510,10.242967296791528578483941,0.346827176438518168284431,0,False,False,51,34,16,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 21067, ""TRENDING_DOWN"": 456, ""TRENDING_UP"": 234}",7.342396020878979199540016150,21.79538610563404869501970101,36.05984446473535690332936694,-633.7290838209487966606237666,-1038.114330089185345443466866,-1437.224581504399141632782782,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,B,VALIDATION,B-VALIDATION,2024-07-01T00:00:00+00:00,2025-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,0.3828264281293549667873290880,0.8455920103175668714285714239,38.2826428129354966787329088,84.55920103175668714285714239,24,0,24,37.500,1.027189236417443189318435555,1.595110117205645694947204533,-88.5203070733775494370000000,5.833062115250832205422006655,0,4.600456621004566210045662100,51.29697573636768831642857143,0.552293735343252806460366,5.572711252889750658764704,5.020417517546497852304338,0,True,False,24,15,9,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 8448, ""TRENDING_DOWN"": 178, ""TRENDING_UP"": 115}",13.33024844949604762004887395,38.97077230648120077600607655,64.25346443371022094583286131,-154.5113971957705319326956624,-525.3477098914023131709465053,-891.0087383390052076509465053,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,C,DEVELOPMENT,C-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-5.876577035053741210874595476,-4.547960604544986500000000002,-587.6577035053741210874595476,-454.7960604544986500000000002,60,0,60,31.66666666666666666666666667,0.8464310056482776214907438682,-9.794295058422902018124325793,-83.5713869344125649039285711,12.88775691408697784005333912,0,4.621431842466798961990535796,134.9854055091027971650000001,10.015852025566017530346354,12.139614483793343607886807,2.123762458227326077540453,0,False,False,61,41,19,0,0,"{""HIGH_VOLATILITY"": 37, ""RANGING"": 25363, ""TRENDING_DOWN"": 528, ""TRENDING_UP"": 276}",6.342536067277658738235154374,18.82737216599731113943984805,31.14935008240361991301245654,-793.0931605070305031413677431,-1197.478406775267051924210842,-1596.588658190480848113526759,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,C,VALIDATION,C-VALIDATION,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,3.345663510911517954141009062,3.730408554250391171428571408,334.5663510911517954141009062,373.0408554250391171428571408,21,0,21,42.85714285714285714285714286,1.285026503046796752495982571,15.93173100434056168638575744,-91.99359212880502257828571452,5.747144624356417734707728434,0,5.936073059360730593607305936,45.41355025563162421142857143,0.668899205497963865995028,7.607945127242266348667365,6.939045921744302482672337,0,True,False,21,12,9,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",12.78157886256018286175886514,37.58919601581595219492006110,61.92316874918598226698260677,141.7723110824457668026723350,-232.4193897546960046067960190,-599.4667602849745141801897190,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,D,DEVELOPMENT,D-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,1.292357182881505843009123651,2.253333603589872271428571419,129.2357182881505843009123651,225.3333603589872271428571419,41,0,41,36.58536585365853658536585366,1.051460941256054819923400658,3.152090689954892300022252807,-78.26908035158154773571428543,5.956325785787464319488301852,0,5.344431687715269804822043628,92.13388615255577212642857145,9.896140120353010410199510,5.932384202072139694683305,-3.963755918280870715516205,0,True,False,42,26,15,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",7.779961046149148863974386836,23.09426710373951153934769357,38.20880601755574286159616915,-76.1997387135057977529958304,-480.5849849817423465358389295,-879.6952363969561427251548459,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,D,VALIDATION,D-VALIDATION,2024-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-3.823270707023729099742710065,-3.070885653884467600000000012,-382.3270707023729099742710065,-307.0885653884467600000000012,40,0,40,32.500,0.8464019878218714853508814483,-9.558176767559322749356775162,-87.3765541287742728626000000,7.465690845266350634819261980,0,4.559963520291837665298677611,88.26506961217864925000000001,0.788611110710970986141872,13.815175408963470261870867,13.026564298252499275728995,0,False,False,40,27,13,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 17001, ""TRENDING_DOWN"": 280, ""TRENDING_UP"": 244}",9.150977242005836260381910127,26.91200210747114103872158969,44.41579565110106720725666635,-575.1211107110789385856995777,-949.3128115482207099951679317,-1318.085127718359209294275918,,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,A,DEVELOPMENT,A-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-2.815257259058395221849621780,-1.379903585705286957142857131,-281.5257259058395221849621780,-137.9903585705286957142857131,58,17,41,32.75862068965517241379310345,0.9212120513022847309195078324,-4.853891825962750382499347897,-77.8867861730110102971086764,9.710052767411717514109912789,2.996555683122847301951779564,5.344431687715269804822043628,131.3117476550858646564285713,18.397159144128857064068915,6.173539463903895249821022,-12.223619680224961814247893,0,False,False,59,39,19,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",6.241047647425537704339715008,18.31040499109193751636448149,30.32797584704970463288122998,-486.9611829074959042388703735,-884.2460750738294433445947030,-1279.826320621526419516400131,BOUNDARY_SENSITIVE,BOTH_NEGATIVE,True
FUTURES_LONG_SHORT_BASELINE_1X,A,VALIDATION,A-VALIDATION,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-5.533890671798695372116827012,-5.033775044300413428571428564,-553.3890671798695372116827012,-503.3775044300413428571428564,23,4,19,26.08695652173913043478260870,0.6099295445964125600757316561,-24.06039422521171900920359570,-77.94021699744582643714285681,6.312699358270499580243824030,1.844262295081967213114754098,3.187613843351548269581056466,50.28717146933264301285714286,5.655574542244465176516231,5.931183261748913834833529,0.275608719504448658317298,0,False,False,23,17,6,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",20.53265891654600730676472841,57.51662789390606454216990150,86.38275662935504083845087797,-731.0583630569901113831112730,-1051.081003751310294312565016,-1300.859894442992372911512159,BOUNDARY_SENSITIVE,BOTH_NEGATIVE,True
FUTURES_LONG_SHORT_BASELINE_1X,A,REFERENCE_ONLY,A-REFERENCE,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,6.368141030701691465323751786,7.149759531338226357142857128,636.8141030701691465323751786,714.9759531338226357142857128,33,12,21,45.45454545454545454545454545,1.387679012182024864493929136,19.29739706273239837976894481,-62.68336246657723383010142835,5.536779615383505484767593588,4.680365296803652968036529680,5.936073059360730593607305936,73.87453198189226917214285716,11.853085580345907190086362,7.565767498584687180318685,-4.287318081761220009767677,0,True,False,33,18,15,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",8.376672942112976827663801814,24.68633823745346372858625871,40.52766847328406862299749084,445.8723252960213697463024109,74.1022313799406586188738394,-286.9924154374234118956781783,BOUNDARY_SENSITIVE,BOTH_NEGATIVE,False
FUTURES_LONG_SHORT_BASELINE_1X,B,DEVELOPMENT,B-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,-7.421706495352752906284622660,-5.748276536482452785714285712,-742.1706495352752906284622660,-574.8276536482452785714285712,69,19,50,30.43478260869565217391304348,0.8295379267555035079378665123,-10.75609637007645348736901835,-77.96384581284512429993163885,15.57489611502209526870394381,2.882320543418395447035065173,5.002753809436387002019460253,155.8117386542550445892857142,21.797186061280959197472315,10.265928828505991729724335,-11.531257232774967467747980,0,False,False,70,48,21,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 21067, ""TRENDING_DOWN"": 456, ""TRENDING_UP"": 234}",5.688046609192390931012524463,16.68797338303970240096909823,27.64070231888707796454582549,-947.6061065369316726823704615,-1344.890998703265211788094791,-1740.471244250962187959900219,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,B,VALIDATION,B-VALIDATION,2024-07-01T00:00:00+00:00,2025-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,3.226653543470173492551447503,3.925220237053972657142857143,322.6653543470173492551447503,392.5220237053972657142857143,32,8,24,40.62500,1.190958336603971823721560325,10.08329232334429216422327345,-74.5602786164605456690635162,5.584747385121159180374466650,2.077625570776255707762557078,4.600456621004566210045662100,68.84985260914937621000000001,6.427184724349072138935845,5.420367975118531889794881,-1.006816749230540249140964,0,True,False,32,19,13,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 8448, ""TRENDING_DOWN"": 178, ""TRENDING_UP"": 115}",9.328721279906002489194573562,27.46235677072283446541035448,45.24659504535012950237100348,134.9359078573060800437161791,-229.9819893972605158172838210,-587.8686822635480065582644107,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,C,DEVELOPMENT,C-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-8.349147930857090593966448792,-6.413678630005700385714285694,-834.9147930857090593966448792,-641.3678630005700385714285694,81,21,60,30.86419753086419753086419753,0.8327460229967638274822862876,-10.30759003809517357279808493,-77.94021699744582643714285681,15.57489611502209526870394381,2.610288505571668447565257213,4.621431842466798961990535796,181.5989191244185076692857141,24.052733686373322240585146,12.104722725652809084654551,-11.948010960720513155930595,0,False,False,82,56,25,0,0,"{""HIGH_VOLATILITY"": 37, ""RANGING"": 25363, ""TRENDING_DOWN"": 528, ""TRENDING_UP"": 276}",4.941936179141864728044874603,14.49898446417791861918761338,24.01502592926066740836029059,-1040.350250087365441450553075,-1437.635142253698980556277404,-1833.215387801395956728082832,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,C,VALIDATION,C-VALIDATION,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,6.368141030701691465323751786,7.149759531338226357142857128,636.8141030701691465323751786,714.9759531338226357142857128,33,12,21,45.45454545454545454545454545,1.387679012182024864493929136,19.29739706273239837976894481,-62.68336246657723383010142835,5.536779615383505484767593588,4.680365296803652968036529680,5.936073059360730593607305936,73.87453198189226917214285716,11.853085580345907190086362,7.565767498584687180318685,-4.287318081761220009767677,0,True,False,33,18,15,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",8.376672942112976827663801814,24.68633823745346372858625871,40.52766847328406862299749084,445.8723252960213697463024109,74.1022313799406586188738394,-286.9924154374234118956781783,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,D,DEVELOPMENT,D-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-2.815257259058395221849621780,-1.379903585705286957142857131,-281.5257259058395221849621780,-137.9903585705286957142857131,58,17,41,32.75862068965517241379310345,0.9212120513022847309195078324,-4.853891825962750382499347897,-77.8867861730110102971086764,9.710052767411717514109912789,2.996555683122847301951779564,5.344431687715269804822043628,131.3117476550858646564285713,18.397159144128857064068915,6.173539463903895249821022,-12.223619680224961814247893,0,False,False,59,39,19,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",6.241047647425537704339715008,18.31040499109193751636448149,30.32797584704970463288122998,-486.9611829074959042388703735,-884.2460750738294433445947030,-1279.826320621526419516400131,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_BASELINE_1X,D,VALIDATION,D-VALIDATION,2024-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,0.8342503589029960932069247735,2.115984487037812928571428564,83.42503589029960932069247735,211.5984487037812928571428564,56,16,40,37.500,1.027251306564949800659411247,1.489732783755350166440937096,-73.58665939918879257172262945,6.312699358270499580243824030,3.260373917008663930688554492,4.559963520291837665298677611,124.1617034512249121850000001,17.508660122590372366602593,13.496950760333601015152214,-4.011709362256771351450379,0,True,False,56,35,21,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 17001, ""TRENDING_DOWN"": 280, ""TRENDING_UP"": 244}",6.071768247389577644134409578,17.89370621132071393904798638,29.37617503719163615133167912,-107.5167418838481674653802904,-479.2868357999288785928088618,-840.3814826172929491073608796,BOUNDARY_SENSITIVE,SIGN_CHANGE,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,A,DEVELOPMENT,A-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-6.464627673661535261256321756,-4.812318301463196914285714290,-646.4627673661535261256321756,-481.2318301463196914285714290,72,24,48,37.500,0.7671226376180810110206079774,-8.978649546752132307300446883,-23.206757557428382640342388,9.022743754117351615126219646,1.194029850746268656716417910,2.428243398392652123995407577,156.8705799323806224285714285,11.773836013486051853992963,3.413478726032839585503645,-8.360357287453212268489318,0,False,False,74,26,8,38,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",9.009126756522358517937087836,26.29255926554873296665007178,40.34905531881680187254105821,-838.3136226808049865027750330,-1206.367197599060528351533516,-1505.702623043499814642247801,BOUNDARY_SENSITIVE,BOTH_NEGATIVE,True
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,A,VALIDATION,A-VALIDATION,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-4.548945359464863651306146281,-3.889760115294212185714285702,-454.8945359464863651306146281,-388.9760115294212185714285702,30,11,19,33.33333333333333333333333333,0.5963594051067039159984674797,-15.16315119821621217102048760,-28.764279742123253597680000,5.089247463157510987553192165,1.058743169398907103825136612,1.593806921675774134790528233,64.90572867424081760785714285,3.232396703617802823250547,2.219600960793473871921632,-1.012795742824328951328915,0,False,False,30,10,3,17,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",25.84911166250643585789569708,65.72010041042945392108296941,85.34255734404740038802029820,-628.6224392014795974049003427,-896.5892214382217430199003431,-1028.468736072896125370851199,BOUNDARY_SENSITIVE,BOTH_NEGATIVE,True
