configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q2,-101.6273450389990747002680492,-98.71556735052162865071428623,-2.91177768847744604955376297,2.865151783075768992485223191,-0.472845651781813630870219,-2.445822119534697425826401,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q3,41.40776170252829248426414193,47.35959471503868984000000538,-5.95183301251039735573586345,14.37371344838228200803896626,-4.401694735880233868597869,-1.522020317549043527852280,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q4,-267.7868771193088046658684251,-265.8850954013020724828571440,-1.9017817180067321830112811,0.7101848075846596389274990513,-0.676802278647187740000000,-1.505765998026051280868424,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q1,-110.5856285731508882880091518,-109.7655859152191870935714295,-0.8200426579317011944377223,0.7415454146369970095813655859,-0.998567645068360371900000,0.057156366915042046747992,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q3,-52.22728854418780850428571492,-51.77269502391013637142857206,-0.45459352027767213285714286,0.8704137874074304188367867082,0,-0.514288754542924340000000,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q4,-70.62817077664685097428571467,-70.71341514854930447142857181,0.08524437190245349714285714,0.1206945769160985853480846420,0,0,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q1,-351.7894135081988406457371438,-354.0311955405974044692857153,2.2417820323985638235485715,0.6372511355707173997804166474,-1.120954750158460000000000,2.958805584792010897120000,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q2,-108.8555101212369277977629442,-107.8223973586773756428571430,-1.0331127625595521549058012,0.9490679538490346744470177857,-2.279072166993642133403400,1.133583779810085582783313,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q3,-46.74410573231234193007477551,-47.56794600413936086714285613,0.82384027182701893706808062,1.762447390789489229266610303,0,0.763436445066033623496652,,True
