configuration,period_type,period,side,trades,net_pnl,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q2,SHORT,18,-199.0442877625609978970695553,27.14244324666600005213843844,73.76311757707214553987634707,96.40170773236193821309162801,-385.3861034295195228350695553,-705.4523930924056380491084220,-860.8737733764007934267311640,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,ALL,21,43.16365999299865781333814652,22.58410956509087867831442872,53.41184169676170007504007882,75.19803658330839033685278353,-109.2590301835811270723761390,-317.3188542828868062200968030,-464.3563287402212667964080263,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,LONG,11,-152.4925651615093385723790074,51.75413653761990574051090530,100,100,-269.1144787605618875135640074,-377.8309079513276495907185744,-377.8309079513276495907185744,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q3,SHORT,10,195.6562251545079963857171540,33.90388894108582113762123949,74.53709371435660284102753059,96.19061533917706111690251876,43.2335349779282115000028685,-139.4423342357768603993899388,-236.7906951741659035045701368,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,ALL,7,-128.9655466129988149615210400,88.29655328048822043500712928,100,100,-275.8782818808583163665210400,-295.3511299790533647480210400,-295.3511299790533647480210400,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,LONG,2,-50.18362999813386278992857099,100,100,100,-69.65647809632891117142857099,-69.65647809632891117142857099,-69.65647809632891117142857099,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2022-Q4,SHORT,5,-78.78191661486495217159246896,100,100,100,-225.6946518827244535765924690,-225.6946518827244535765924690,-225.6946518827244535765924690,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,ALL,5,-25.84543104481368722730000020,74.94499887604288156626516861,100,100,-119.5995186276603924441428579,-150.9426209692722586241428579,-150.9426209692722586241428579,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,LONG,4,-1.33742434996522182030000020,74.94499887604288156626516861,100,100,-95.09151193281192703714285794,-126.4346142744237932171428579,-126.4346142744237932171428579,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q1,SHORT,1,-24.508006694848465407000000,0,0,0,-24.508006694848465407000000,-24.508006694848465407000000,-24.508006694848465407000000,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q2,ALL,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q2,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q2,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q3,ALL,1,2.941425267133413500000000,100,100,100,0E-24,0E-24,0E-24,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q3,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q3,SHORT,1,2.941425267133413500000000,100,100,100,0E-24,0E-24,0E-24,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q4,ALL,1,-67.97602210734795121714285751,0,0,0,-67.97602210734795121714285751,-67.97602210734795121714285751,-67.97602210734795121714285751,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q4,LONG,1,-67.97602210734795121714285751,0,0,0,-67.97602210734795121714285751,-67.97602210734795121714285751,-67.97602210734795121714285751,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2023-Q4,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,ALL,6,-242.9903187871563064984628572,100,100,100,-297.3282748128143765625028572,-297.3282748128143765625028572,-297.3282748128143765625028572,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,LONG,3,-37.92726537877657604167428546,100,100,100,-92.26522140443464610571428546,-92.26522140443464610571428546,-92.26522140443464610571428546,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q1,SHORT,3,-205.0630534083797304567885717,0,0,0,-205.0630534083797304567885717,-205.0630534083797304567885717,-205.0630534083797304567885717,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,ALL,9,-98.5063581782087373187575119,67.07119913081724366942378566,99.11677698303242735885321287,100,-244.2139255295582548216146548,-313.8307395082002435325655108,-315.7494807697074407596655108,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,LONG,3,71.535555240149185938050856,81.90169619004570068842059376,100,100,12.946722119499882527100000,0E-24,0E-24,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q2,SHORT,6,-170.0419134183579232568083679,100,100,100,-315.7494807697074407596655108,-315.7494807697074407596655108,-315.7494807697074407596655108,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q3,ALL,6,75.96808049679405970293846894,58.69441357667281140792919394,100,100,-97.75982275819917257134724566,-220.0190376435918006834901032,-220.0190376435918006834901032,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q3,LONG,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q3,SHORT,6,75.96808049679405970293846894,58.69441357667281140792919394,100,100,-97.75982275819917257134724566,-220.0190376435918006834901032,-220.0190376435918006834901032,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,ALL,9,-189.3659394779153810163327280,70.12360446698000150305106791,100,100,-262.6566209919404599563327280,-293.8823602624978385711692720,-293.8823602624978385711692720,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,LONG,5,-85.59944744563258030042272815,50.48055642354691989113376768,100,100,-101.3623743767759462178992722,-116.8251867161899589152592722,-116.8251867161899589152592722,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2024-Q4,SHORT,4,-103.7664920322828007159099999,100,100,100,-177.0571735463078796559099999,-177.0571735463078796559099999,-177.0571735463078796559099999,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,QUARTER,2025-Q1,ALL,10,457.2143137194352402598744673,25.45839830365986985445124449,73.92689894104737641929757014,98.22610264976570773090912990,276.9405972636680655227316104,-66.2701827988176075053852530,-238.3355149236857255247455350,RESULT_DEPENDS_ON_FEW_TRADES
