configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q2,SHORT,4,-99.75777176538998142857142959,8.373636520197185230714285716,-0.243453133016233943434130,-108.3748614186034006027198453
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q3,LONG,5,176.5440130365149357142857146,12.23383145891291483785714286,-6.958218520375240207979934,157.3519630572267806684486376
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q4,LONG,1,-71.77162982012790857142857154,2.433261165753104725714285714,-0.483768459964950760000000,-74.68865944584596405714285725
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q4,SHORT,7,151.1413368597135828571428571,16.14476721824033647857142857,3.744731919863965519170606,138.7413015613372118977420346
FUTURES_LONG_SHORT_BASELINE_1X,REGIME,HIGH_VOLATILITY,SHORT,1,188.8081565487921371428571426,1.078710059080867931428571429,0,187.7294464897112692114285712
FUTURES_LONG_SHORT_BASELINE_1X,REGIME,RANGING,LONG,1,-63.91270109462664857142857185,2.456022475472755765714285714,0,-66.36872357009940433714285756
FUTURES_LONG_SHORT_BASELINE_1X,REGIME,RANGING,SHORT,7,-76.93402673904813000000000000,15.71407661898418660499999999,0.264605768588463318728356,-92.38349758944385328627164395
FUTURES_LONG_SHORT_BASELINE_1X,REGIME,TRENDING_DOWN,SHORT,73,-163.5927092820404100000000020,159.5313318903285251250000000,8.700647880816015183954649,-314.4233932915529199410453536
FUTURES_LONG_SHORT_BASELINE_1X,REGIME,TRENDING_UP,LONG,32,189.2393707001756485714285747,76.69331006244444141428571428,-25.200582691886211668381277,87.34547794584499548876158295
FUTURES_LONG_SHORT_BASELINE_1X,VOLATILITY,EXTREME,LONG,29,206.8010841290075985714285741,69.35651697977785155928571428,-20.964735630107306148619185,116.4798315191224408635236744
FUTURES_LONG_SHORT_BASELINE_1X,VOLATILITY,EXTREME,SHORT,76,231.1897135333993642857142840,164.2393136573905953978571429,6.580924447597024077287213,73.5313243236057929651443540
FUTURES_LONG_SHORT_BASELINE_1X,VOLATILITY,HIGH,LONG,4,-81.47441452345859857142857129,9.792815558139345620714285715,-4.235847061778905519762092,-95.50307714337684971190494902
FUTURES_LONG_SHORT_BASELINE_1X,VOLATILITY,HIGH,SHORT,5,-282.9082930056957671428571436,12.08480491100298426357142857,2.384329201807454425395792,-292.6087687148912969810327800
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2022,LONG,13,-286.0446611320338757142857114,31.19021580748121131214285714,-7.469820859138090567958088,-324.7046977986531775943866566
