configuration,metric,bucket,post_event_diagnostic_only,trades,long_trades,short_trades,net_pnl,mean_trade_pnl,win_rate_percent
FUTURES_SHORT_MIRRORED_1X,return_30d,NEGATIVE,True,63,0,63,-114.1818372558346715841209290,-1.812410115171978914033665540,34.92063492063492063492063492
FUTURES_SHORT_MIRRORED_1X,return_30d,POSITIVE,True,12,0,12,-682.1161484599875758717391106,-56.84301237166563132264492588,16.66666666666666666666666667
FUTURES_SHORT_MIRRORED_1X,return_30d,UNKNOWN,True,6,0,6,543.2066333015999217825013982,90.53443888359998696375023303,66.66666666666666666666666667
FUTURES_SHORT_MIRRORED_1X,return_7d,NEGATIVE,True,76,0,76,-814.5320516657990553699795926,-10.71752699560261914960499464,31.57894736842105263157894737
FUTURES_SHORT_MIRRORED_1X,return_7d,POSITIVE,True,3,0,3,202.0862858852067298269530276,67.36209529506890994231767587,66.66666666666666666666666667
FUTURES_SHORT_MIRRORED_1X,return_7d,UNKNOWN,True,2,0,2,359.3544133663699998696679250,179.6772066831849999348339625,100
FUTURES_LONG_SHORT_BASELINE_1X,directional_persistence,DOWN,True,21,0,21,214.3328291026941395908046100,10.20632519536638759956212429,38.09523809523809523809523810
FUTURES_LONG_SHORT_BASELINE_1X,directional_persistence,MIXED,True,82,22,60,-1075.997710549937661422900002,-13.12192329938948367588902441,30.48780487804878048780487805
FUTURES_LONG_SHORT_BASELINE_1X,directional_persistence,UP,True,11,11,0,663.5641914317036089678256940,60.32401740288214626980233582,63.63636363636363636363636364
FUTURES_LONG_SHORT_BASELINE_1X,long_ema_distance_percent,BELOW,True,1,0,1,-109.3815193304725294330718656,-109.3815193304725294330718656,0
FUTURES_LONG_SHORT_BASELINE_1X,long_ema_distance_percent,FAR_ABOVE,True,33,33,0,20.97675437574559115161872560,0.6356592235074421561096583515,36.36363636363636363636363636
FUTURES_LONG_SHORT_BASELINE_1X,long_ema_distance_percent,FAR_BELOW,True,80,0,80,-109.6959250608129745828165604,-1.371199063260162182285207005,35.00
FUTURES_LONG_SHORT_BASELINE_1X,long_ema_slope_percent,NEGATIVE,True,81,0,81,-219.0774443912855040158884262,-2.704659807299821037233190447,34.56790123456790123456790123
FUTURES_LONG_SHORT_BASELINE_1X,long_ema_slope_percent,POSITIVE,True,33,33,0,20.97675437574559115161872560,0.6356592235074421561096583515,36.36363636363636363636363636
FUTURES_LONG_SHORT_BASELINE_1X,return_24h,NEGATIVE,True,80,0,80,-125.6447555539341815708884264,-1.57055944442417726963610533,35.00
FUTURES_LONG_SHORT_BASELINE_1X,return_24h,POSITIVE,True,34,33,1,-72.45593446160573129338127415,-2.131056895929580332158272769,35.29411764705882352941176471
FUTURES_LONG_SHORT_BASELINE_1X,return_30d,NEGATIVE,True,70,7,63,-701.1356613604352834464798428,-10.01622373372050404923542633,31.42857142857142857142857143
FUTURES_LONG_SHORT_BASELINE_1X,return_30d,POSITIVE,True,38,26,12,-40.17166195670455120029125590,-1.057148998860646084218190945,36.84210526315789473684210526
FUTURES_LONG_SHORT_BASELINE_1X,return_30d,UNKNOWN,True,6,0,6,543.2066333015999217825013982,90.53443888359998696375023303,66.66666666666666666666666667
FUTURES_LONG_SHORT_BASELINE_1X,return_7d,NEGATIVE,True,78,2,76,-688.0099359318810475118012152,-8.820640204254885224510271990,32.05128205128205128205128205
FUTURES_LONG_SHORT_BASELINE_1X,return_7d,POSITIVE,True,34,31,3,130.5548325499711347778635896,3.839848016175621611113634988,38.23529411764705882352941176
FUTURES_LONG_SHORT_BASELINE_1X,return_7d,UNKNOWN,True,2,0,2,359.3544133663699998696679250,179.6772066831849999348339625,100
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,directional_persistence,DOWN,True,27,0,27,-188.8576085379231818688570973,-6.994726242145303032179892493,37.03703703703703703703703704
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,directional_persistence,MIXED,True,103,40,63,-118.8544649709934539341566322,-1.153926844378577222661714876,40.77669902912621359223300971
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,directional_persistence,UP,True,14,14,0,203.5397865234953977807319250,14.53855618024967127005228036,50.0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,long_ema_distance_percent,FAR_ABOVE,True,54,54,0,-47.14476425436853835242589285,-0.8730511898957136731930720898,44.44444444444444444444444444
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,long_ema_distance_percent,FAR_BELOW,True,90,0,90,-57.02752273105269966985591170,-0.6336391414561411074428434633,38.88888888888888888888888889
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,long_ema_slope_percent,NEGATIVE,True,90,0,90,-57.02752273105269966985591170,-0.6336391414561411074428434633,38.88888888888888888888888889
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,long_ema_slope_percent,POSITIVE,True,54,54,0,-47.14476425436853835242589285,-0.8730511898957136731930720898,44.44444444444444444444444444
