timestamp,market,mode,side,regime,short_ema,long_ema,close,previous_close,atr,atr_relative,volume_ratio,pullback_age,pullback_depth_atr,entry_extension_atr,trend_persistence,regime_matched,ema_alignment,price_long_ema_side,pullback_started,pullback_age_valid,pullback_depth_min,pullback_depth_max,long_ema_not_crossed,resumption_cross,directional_close_confirmation,entry_extension_valid,volume_valid,volatility_valid,first_failure_code,all_failure_codes,hypothetical_signal_without_failed_rule
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T03:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1544.915426142191140273645104,1502.430027391895434450516047,1561.05,1545.24,32.29428571428571428571428571,0.02068754089509350391448978938,0.6708850102194161750761019629,4,0.6173267737147271047087988190,1.815180961942546044618188406,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T03:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1544.915426142191140273645104,1502.430027391895434450516047,1561.05,1545.24,32.29428571428571428571428571,0.02068754089509350391448978938,0.6708850102194161750761019629,4,0.6173267737147271047087988190,1.815180961942546044618188406,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T04:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1546.476814128649126914250332,1504.739045925546593883829143,1561.31,1561.05,31.30928571428571428571428571,0.02005321538598082013547231857,0.5111358811143924102639276746,5,0.6173267737147271047087988190,1.806842691676015069984696457,True,True,True,True,True,True,True,True,True,True,True,True,False,True,VOLUME_REJECTED,VOLUME_REJECTED,True
2022-07-20T05:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1548.476165164015876731940777,1507.199083340231041182502510,1567.47,1561.31,29.50428571428571428571428571,0.01882287106884706838772945301,0.4952084936014587864356995769,6,0.6173267737147271047087988190,2.042785148009406438398694766,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,LONG,RANGING,1543.217049946632312934028799,1500.037375448707492999516702,1545.24,1539.08,33.12928571428571428571428571,0.02143957295584227322986350710,0.4358506759244929436450904798,3,0.6173267737147271047087988190,1.364431003467141928821642854,True,True,True,True,True,True,True,True,True,True,True,False,False,True,PRICE_OVEREXTENDED,PRICE_OVEREXTENDED;VOLUME_REJECTED,False
