market,mode,variant_id,period,removed_rule,rules_removed_count,rejected_resumptions,hypothetically_eligible,signals_executed,diagnostic_only
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG_SHORT,VOLUME_RELAXED,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,DEVELOPMENT,trend_persistence,1,1,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,volume_valid,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,volatility_valid,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,entry_extension_valid,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,directional_close_confirmation,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,regime_matched,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,pullback_depth_min,1,2,0,0,True
FUTURES,LONG_SHORT,PERSISTENCE_2,DEVELOPMENT,trend_persistence,1,2,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volume_valid,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,volatility_valid,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,entry_extension_valid,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,directional_close_confirmation,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,regime_matched,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,pullback_depth_min,1,1,0,0,True
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,trend_persistence,1,1,0,0,True
