timestamp,market,mode,variant_id,period,side,signal_created,first_failure_code,declaration,return_after_1_candles_percent,return_after_3_candles_percent,return_after_6_candles_percent,return_after_12_candles_percent,return_after_24_candles_percent,mfe_percent,mae_percent
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T03:59:59.999000+00:00,FUTURES,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.016655456263412446750584500,0.497101310015694564555907900,-0.7405272092501841709106050400,2.227987572467249607635886100,-4.702604016527337369078504850,3.776304410492937445949841500,-5.384196534383908266871656900
2022-07-20T04:59:59.999000+00:00,FUTURES,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,VOLUME_REJECTED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.394540482031114897105635700,-1.989355092838705958457961580,1.989995580634211015109107100,-0.2497902402469720939467498400,-4.898450660022673267960879010,3.759022871819177485573012400,-6.341469663295565902991718490
2022-07-20T05:59:59.999000+00:00,FUTURES,LONG,EXTENSION_2_0,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,0.085488079516673365359464600,-2.289039024670328618729545060,2.243105131198683228387146200,-1.436072141731580189732498870,-4.843473878287941714992950420,3.351260311202128270397519600,-6.709538300573535697652905640
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,NO_MINIMUM_DEPTH,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,VOLUME_RELAXED,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,VOLATILITY_RELAXED,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,PERSISTENCE_2,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-07-20T02:59:59.999000+00:00,FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,DEVELOPMENT,LONG,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,1.023142036188553234449017600,1.438611477828686805933058900,-0.8833579249825269860992467200,3.855064585436566488053635700,-3.676451554451088504051150630,4.838083404519686262328182000,-4.416142476249644068235355030
2022-05-28T09:59:59.999000+00:00,FUTURES,SHORT,CALIBRATION_BASE,DEVELOPMENT,SHORT,False,PRICE_OVEREXTENDED,POST_EVENT_ONLY_NO_STRATEGY_ACCESS,-0.254505081561192245281407500,-1.684174566572721837902468200,-2.152190622598001537279016100,-1.540125829134284168872946700,-1.290175648361659122612235600,0.3359239331568309277763543700,-3.016483047228627551456144800
